Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000653987716	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
5	3	0	0.00326993858	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
10	4	0	0.00653987716	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
15	5	0	0.00980981574	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
20	7	0	0.0130797543	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
25	8	0	0.0163496929	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
30	9	0	0.0196196315	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
35	10	0	0.0228895701	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
40	11	0	0.0261595087	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
45	13	0	0.0294294472	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
50	14	0	0.0326993858	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
55	15	0	0.0359693244	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
60	16	0	0.039239263	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
65	17	0	0.0425092016	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
70	19	0	0.0457791401	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
75	20	0	0.0490490787	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
80	21	0	0.0523190173	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
85	22	0	0.0555889559	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
90	23	0	0.0588588945	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
95	25	0	0.062128833	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
100	26	0	0.0653987716	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
105	27	0	0.0686687102	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
110	29	0	0.0719386488	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
115	30	0	0.0752085874	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
120	31	0	0.078478526	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
125	33	0	0.0817484645	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
130	34	0	0.0850184031	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
135	35	0	0.0882883417	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
140	36	0	0.0915582803	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
145	38	0	0.0948282189	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
150	39	0	0.0980981574	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
155	41	0	0.101368096	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
160	42	0	0.104638035	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
165	43	0	0.107907973	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
170	45	0	0.111177912	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
175	46	0	0.11444785	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
180	47	0	0.117717789	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
185	48	0	0.120987728	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
190	50	0	0.124257666	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
195	51	0	0.127527605	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
200	52	0	0.130797543	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
205	54	0	0.134067482	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
210	55	0	0.13733742	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
215	57	0	0.140607359	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
220	58	0	0.143877298	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
225	59	0	0.147147236	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
230	60	0	0.150417175	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
235	62	0	0.153687113	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
240	63	0	0.156957052	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
245	64	0	0.16022699	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
250	65	0	0.163496929	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
255	67	0	0.166766868	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
260	68	0	0.170036806	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
265	69	0	0.173306745	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
270	70	0	0.176576683	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
275	72	0	0.179846622	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
280	73	0	0.183116561	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
285	74	0	0.186386499	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
290	75	0	0.189656438	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
295	77	0	0.192926376	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
300	78	0	0.196196315	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
305	79	0	0.199466253	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
310	81	0	0.202736192	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
315	82	0	0.206006131	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
320	83	0	0.209276069	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
325	84	0	0.212546008	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
330	86	0	0.215815946	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
335	87	0	0.219085885	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
340	88	0	0.222355824	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
345	89	0	0.225625762	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
350	91	0	0.228895701	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
355	92	0	0.232165639	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
360	93	0	0.235435578	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
365	94	0	0.238705516	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
370	96	0	0.241975455	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
375	97	0	0.245245394	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
380	98	0	0.248515332	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
385	100	0	0.251785271	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
390	101	0	0.255055209	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
395	102	0	0.258325148	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
400	103	0	0.261595087	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
405	105	0	0.264865025	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
410	106	0	0.268134964	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
415	107	0	0.271404902	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
420	109	0	0.274674841	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
425	110	0	0.277944779	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
430	111	0	0.281214718	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
435	113	0	0.284484657	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
440	114	0	0.287754595	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
445	115	0	0.291024534	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
450	116	0	0.294294472	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
455	118	0	0.297564411	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
460	119	0	0.30083435	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
465	120	0	0.304104288	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
