Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.000653987716	-3.68004999e-08	-3.68004999e-08	-3.68004999e-08	-3.68004999e-08	0	0	0	0	0	0	3
5	3	0	0.00326993858	3.83841601e-06	1.90080776e-06	-3.68004999e-08	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
10	5	0	0.00653987716	2.51101086e-09	1.26804217e-06	-3.68004999e-08	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
15	6	0	0.00980981574	-3.29190751e-07	8.68733943e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
20	7	0	0.0130797543	4.60826707e-08	7.04203688e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
25	8	0	0.0163496929	-1.47069657e-07	5.62324797e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
30	9	0	0.0196196315	-4.77043488e-08	4.75177777e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
35	10	0	0.0228895701	9.61190874e-08	4.2779544e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
40	11	0	0.0261595087	-1.83631418e-07	3.59859123e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
45	13	0	0.0294294472	-2.98395961e-10	3.23843371e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
50	14	0	0.0326993858	8.19152884e-09	2.95147749e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
55	15	0	0.0359693244	-1.41414553e-10	2.70540319e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
60	16	0	0.039239263	-2.78039112e-08	2.47590762e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
65	18	0	0.0425092016	6.1395295e-09	2.30344246e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
70	19	0	0.0457791401	-1.16491675e-08	2.14211352e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
75	20	0	0.0490490787	-3.56947158e-10	2.00800833e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
80	21	0	0.0523190173	2.19768757e-08	1.90281777e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
85	22	0	0.0555889559	1.32880147e-08	1.8044879e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
90	24	0	0.0588588945	1.05219532e-08	1.71505272e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
95	25	0	0.062128833	-8.19952308e-09	1.62520032e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
100	26	0	0.0653987716	2.51554482e-07	1.66759768e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
105	28	0	0.0686687102	-6.57325484e-08	1.56191935e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
110	29	0	0.0719386488	7.87603546e-08	1.52825345e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
115	30	0	0.0752085874	2.6428036e-08	1.4755879e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
120	31	0	0.078478526	-4.72339706e-08	1.3976708e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
125	32	0	0.0817484645	-3.9564529e-10	1.34376206e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
130	34	0	0.0850184031	-5.17111645e-09	1.29207787e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
135	35	0	0.0882883417	1.20629256e-08	1.25024042e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
140	36	0	0.0915582803	-9.73086782e-09	1.20377321e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
145	37	0	0.0948282189	1.62912356e-07	1.21795155e-07	-3.29190751e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
150	39	0	0.0980981574	-3.58759378e-07	1.06293396e-07	-3.58759378e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
155	40	0	0.101368096	3.37865921e-08	1.04027558e-07	-3.58759378e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
160	41	0	0.104638035	-1.61894026e-07	9.59693285e-08	-3.58759378e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
165	42	0	0.107907973	2.65058302e-08	9.39262844e-08	-3.58759378e-07	3.83841601e-06	1.93760826e-06	0	0	0	0	0	3
