Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.000653987716	96311.0352	96311.0352	96311.0352	96311.0352	0	0	0	0	0	0	3
5	3	0	0.00326993858	84507.3827	90409.2089	84507.3827	96311.0352	5901.82625	0	0	0	0	0	3
10	5	0	0.00653987716	84140.3364	88319.5847	84140.3364	96311.0352	7991.45045	0	0	0	0	0	3
15	6	0	0.00980981574	83565.468	87131.0556	83565.468	96311.0352	9179.97962	0	0	0	0	0	3
20	7	0	0.0130797543	83460.8288	86397.0102	83460.8288	96311.0352	9914.02498	0	0	0	0	0	3
25	8	0	0.0163496929	83780.5657	85960.9361	83460.8288	96311.0352	10350.0991	0	0	0	0	0	3
30	9	0	0.0196196315	83720.8679	85640.9264	83460.8288	96311.0352	10670.1088	0	0	0	0	0	3
35	10	0	0.0228895701	83576.346	85382.8538	83460.8288	96311.0352	10928.1814	0	0	0	0	0	3
40	11	0	0.0261595087	83650.5494	85190.3756	83460.8288	96311.0352	11120.6596	0	0	0	0	0	3
45	13	0	0.0294294472	83948.7855	85066.2166	83460.8288	96311.0352	11244.8186	0	0	0	0	0	3
50	14	0	0.0326993858	83895.7019	84959.8061	83460.8288	96311.0352	11351.2291	0	0	0	0	0	3
55	15	0	0.0359693244	83838.5249	84866.366	83460.8288	96311.0352	11444.6692	0	0	0	0	0	3
60	16	0	0.039239263	83793.3657	84783.8275	83460.8288	96311.0352	11527.2077	0	0	0	0	0	3
65	18	0	0.0425092016	83777.0202	84711.9127	83460.8288	96311.0352	11599.1225	0	0	0	0	0	3
70	19	0	0.0457791401	83793.9492	84650.7152	83460.8288	96311.0352	11660.32	0	0	0	0	0	3
75	20	0	0.0490490787	83778.3428	84596.1919	83460.8288	96311.0352	11714.8433	0	0	0	0	0	3
80	21	0	0.0523190173	83810.2429	84549.9596	83460.8288	96311.0352	11761.0756	0	0	0	0	0	3
85	22	0	0.0555889559	83851.3925	84511.1503	83460.8288	96311.0352	11799.8849	0	0	0	0	0	3
90	24	0	0.0588588945	83868.2309	84477.3124	83460.8288	96311.0352	11833.7228	0	0	0	0	0	3
95	25	0	0.062128833	83893.9969	84448.1467	83460.8288	96311.0352	11862.8885	0	0	0	0	0	3
100	26	0	0.0653987716	83784.8893	84416.563	83460.8288	96311.0352	11894.4722	0	0	0	0	0	3
105	28	0	0.0686687102	83751.0232	84386.3112	83460.8288	96311.0352	11924.724	0	0	0	0	0	3
110	29	0	0.0719386488	83706.8017	84356.7673	83460.8288	96311.0352	11954.2679	0	0	0	0	0	3
115	30	0	0.0752085874	83665.4171	84327.961	83460.8288	96311.0352	11983.0742	0	0	0	0	0	3
120	31	0	0.078478526	83619.3209	84299.6154	83460.8288	96311.0352	12011.4198	0	0	0	0	0	3
125	32	0	0.0817484645	83652.2573	84274.717	83460.8288	96311.0352	12036.3182	0	0	0	0	0	3
130	34	0	0.0850184031	83721.4918	84254.2272	83460.8288	96311.0352	12056.808	0	0	0	0	0	3
135	35	0	0.0882883417	83731.1422	84235.5456	83460.8288	96311.0352	12075.4896	0	0	0	0	0	3
140	36	0	0.0915582803	83773.7125	84219.6203	83460.8288	96311.0352	12091.4149	0	0	0	0	0	3
145	37	0	0.0948282189	83717.9188	84202.8969	83460.8288	96311.0352	12108.1383	0	0	0	0	0	3
