Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.000653987716	293.18891	293.18891	293.18891	293.18891	0	0	0	0	0	0	3
5	3	0	0.00326993858	293.160572	293.174741	293.160572	293.18891	0.0141693639	0	0	0	0	0	3
10	5	0	0.00653987716	293.159795	293.169759	293.159795	293.18891	0.0191514871	0	0	0	0	0	3
15	6	0	0.00980981574	293.158248	293.166881	293.158248	293.18891	0.0220290706	0	0	0	0	0	3
20	7	0	0.0130797543	293.158078	293.165121	293.158078	293.18891	0.0237896548	0	0	0	0	0	3
25	8	0	0.0163496929	293.158778	293.164064	293.158078	293.18891	0.0248466996	0	0	0	0	0	3
30	9	0	0.0196196315	293.158948	293.163333	293.158078	293.18891	0.0255774947	0	0	0	0	0	3
35	10	0	0.0228895701	293.158672	293.16275	293.158078	293.18891	0.0261601231	0	0	0	0	0	3
40	11	0	0.0261595087	293.158615	293.162291	293.158078	293.18891	0.0266195579	0	0	0	0	0	3
45	13	0	0.0294294472	293.159362	293.161998	293.158078	293.18891	0.0269124451	0	0	0	0	0	3
50	14	0	0.0326993858	293.159403	293.161762	293.158078	293.18891	0.027148318	0	0	0	0	0	3
55	15	0	0.0359693244	293.1594	293.161565	293.158078	293.18891	0.0273451736	0	0	0	0	0	3
60	16	0	0.039239263	293.159381	293.161397	293.158078	293.18891	0.027513197	0	0	0	0	0	3
65	18	0	0.0425092016	293.159378	293.161253	293.158078	293.18891	0.0276574084	0	0	0	0	0	3
70	19	0	0.0457791401	293.159408	293.16113	293.158078	293.18891	0.0277804201	0	0	0	0	0	3
75	20	0	0.0490490787	293.159422	293.161023	293.158078	293.18891	0.0278871851	0	0	0	0	0	3
80	21	0	0.0523190173	293.159437	293.16093	293.158078	293.18891	0.0279804681	0	0	0	0	0	3
85	22	0	0.0555889559	293.159496	293.16085	293.158078	293.18891	0.0280601367	0	0	0	0	0	3
90	24	0	0.0588588945	293.159554	293.160782	293.158078	293.18891	0.0281283519	0	0	0	0	0	3
95	25	0	0.062128833	293.159636	293.160725	293.158078	293.18891	0.0281856497	0	0	0	0	0	3
100	26	0	0.0653987716	293.159684	293.160675	293.158078	293.18891	0.0282352148	0	0	0	0	0	3
105	28	0	0.0686687102	293.159669	293.160629	293.158078	293.18891	0.0282809473	0	0	0	0	0	3
110	29	0	0.0719386488	293.159601	293.160585	293.158078	293.18891	0.0283256627	0	0	0	0	0	3
115	30	0	0.0752085874	293.159529	293.160541	293.158078	293.18891	0.0283696358	0	0	0	0	0	3
120	31	0	0.078478526	293.159458	293.160497	293.158078	293.18891	0.0284129564	0	0	0	0	0	3
125	32	0	0.0817484645	293.159461	293.160457	293.158078	293.18891	0.0284528137	0	0	0	0	0	3
130	34	0	0.0850184031	293.159506	293.160422	293.158078	293.18891	0.0284880566	0	0	0	0	0	3
135	35	0	0.0882883417	293.159529	293.16039	293.158078	293.18891	0.0285199599	0	0	0	0	0	3
140	36	0	0.0915582803	293.159574	293.160362	293.158078	293.18891	0.0285481111	0	0	0	0	0	3
145	37	0	0.0948282189	293.159573	293.160336	293.158078	293.18891	0.0285744065	0	0	0	0	0	3
150	39	0	0.0980981574	293.159509	293.160309	293.158078	293.18891	0.0286010736	0	0	0	0	0	3
155	40	0	0.101368096	293.159411	293.160281	293.158078	293.18891	0.0286291303	0	0	0	0	0	3
160	41	0	0.104638035	293.159255	293.16025	293.158078	293.18891	0.0286602146	0	0	0	0	0	3
165	42	0	0.107907973	293.159003	293.160213	293.158078	293.18891	0.0286969036	0	0	0	0	0	3
170	44	0	0.111177912	293.158884	293.160175	293.158078	293.18891	0.0287348795	0	0	0	0	0	3
175	45	0	0.11444785	293.158889	293.16014	293.158078	293.18891	0.0287706089	0	0	0	0	0	3
180	46	0	0.117717789	293.158876	293.160106	293.158078	293.18891	0.0288047544	0	0	0	0	0	3
185	47	0	0.120987728	293.158772	293.16007	293.158078	293.18891	0.0288398552	0	0	0	0	0	3
190	49	0	0.124257666	293.158736	293.160036	293.158078	293.18891	0.0288740824	0	0	0	0	0	3
195	50	0	0.127527605	293.158622	293.160001	293.158078	293.18891	0.0289094277	0	0	0	0	0	3
200	51	0	0.130797543	293.158412	293.159962	293.158078	293.18891	0.0289481851	0	0	0	0	0	3
205	52	0	0.134067482	293.15832	293.159923	293.158078	293.18891	0.0289872948	0	0	0	0	0	3
210	54	0	0.13733742	293.158257	293.159884	293.158078	293.18891	0.0290260329	0	0	0	0	0	3
215	55	0	0.140607359	293.158261	293.159847	293.158078	293.18891	0.0290629254	0	0	0	0	0	3
220	56	0	0.143877298	293.158283	293.159813	293.158078	293.18891	0.0290976877	0	0	0	0	0	3
225	57	0	0.147147236	293.158427	293.159783	293.158078	293.18891	0.0291278068	0	0	0	0	0	3
230	59	0	0.150417175	293.158728	293.15976	293.158078	293.18891	0.0291502507	0	0	0	0	0	3
235	60	0	0.153687113	293.158953	293.159743	293.158078	293.18891	0.0291670588	0	0	0	0	0	3
240	61	0	0.156957052	293.159168	293.159732	293.158078	293.18891	0.0291788017	0	0	0	0	0	3
245	62	0	0.16022699	293.159177	293.15972	293.158078	293.18891	0.0291898995	0	0	0	0	0	3
250	64	0	0.163496929	293.159186	293.15971	293.158078	293.18891	0.0292003875	0	0	0	0	0	3
255	65	0	0.166766868	293.159159	293.159699	293.158078	293.18891	0.0292109815	0	0	0	0	0	3
260	66	0	0.170036806	293.159112	293.159688	293.158078	293.18891	0.0292220578	0	0	0	0	0	3
