Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188465549	-8.05448943	-8.05448943	-8.05448943	-8.05448943	0	0	0	0	0	0	3
2	1	0	0.0376931098	-19.5439528	-13.7992211	-19.5439528	-8.05448943	5.74473169	0	0	0	0	0	3
3	1	0	0.0565396646	-16.9603018	-14.8529147	-19.5439528	-8.05448943	6.79842524	0	0	0	0	0	3
4	1	0	0.0753862195	-20.6330726	-16.2979541	-20.6330726	-8.05448943	8.24346471	0	0	0	0	0	3
5	2	0	0.0942327744	-20.4371426	-17.1257918	-20.6330726	-8.05448943	9.07130241	0	0	0	0	0	3
6	2	0	0.113079329	-22.4759146	-18.017479	-22.4759146	-8.05448943	9.96298954	0	0	0	0	0	3
7	2	0	0.131925884	-23.9967706	-18.8716635	-23.9967706	-8.05448943	10.8171741	0	0	0	0	0	3
8	3	0	0.150772439	-25.1168411	-19.6523107	-25.1168411	-8.05448943	11.5978213	0	0	0	0	0	3
9	3	0	0.169618994	-26.5124377	-20.414547	-26.5124377	-8.05448943	12.3600576	0	0	0	0	0	3
10	3	0	0.188465549	-24.3648945	-20.8095818	-26.5124377	-8.05448943	12.7550923	0	0	0	0	0	3
11	3	0	0.207312104	-29.4374573	-21.5939341	-29.4374573	-8.05448943	13.5394447	0	0	0	0	0	3
12	3	0	0.226158659	-29.2824172	-22.234641	-29.4374573	-8.05448943	14.1801516	0	0	0	0	0	3
13	4	0	0.245005213	-33.8329346	-23.1268174	-33.8329346	-8.05448943	15.072328	0	0	0	0	0	3
14	4	0	0.263851768	-33.6846439	-23.8809479	-33.8329346	-8.05448943	15.8264585	0	0	0	0	0	3
15	4	0	0.282698323	-34.4322067	-24.5843652	-34.4322067	-8.05448943	16.5298757	0	0	0	0	0	3
16	4	0	0.301544878	-33.4298454	-25.1372077	-34.4322067	-8.05448943	17.0827182	0	0	0	0	0	3
