Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188465549	3.19970602	3.19970602	3.19970602	3.19970602	0	0	0	0	0	0	3
2	1	0	0.0376931098	12.5723641	7.88603505	3.19970602	12.5723641	4.68632903	0	0	0	0	0	3
3	1	0	0.0565396646	12.5470314	9.43970052	3.19970602	12.5723641	6.23999449	0	0	0	0	0	3
4	1	0	0.0753862195	12.7564789	10.2688951	3.19970602	12.7564789	7.06918908	0	0	0	0	0	3
5	2	0	0.0942327744	11.4055645	10.496229	3.19970602	12.7564789	7.29652296	0	0	0	0	0	3
6	2	0	0.113079329	11.0465337	10.5879464	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
7	2	0	0.131925884	10.472057	10.5713908	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
8	3	0	0.150772439	10.2895596	10.5361619	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
9	3	0	0.169618994	6.70678751	10.1106759	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
10	3	0	0.188465549	7.02969422	9.80257769	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
11	3	0	0.207312104	3.49854644	9.22948394	3.19970602	12.7564789	7.38824041	0	0	0	0	0	3
12	3	0	0.226158659	-0.0849574382	8.45328049	-0.0849574382	12.7564789	7.38824041	0	0	0	0	0	3
13	4	0	0.245005213	-2.93051087	7.57760423	-2.93051087	12.7564789	7.38824041	0	0	0	0	0	3
14	4	0	0.263851768	-5.69064527	6.62987213	-5.69064527	12.7564789	7.38824041	0	0	0	0	0	3
15	4	0	0.282698323	-6.60428718	5.74759484	-6.60428718	12.7564789	7.38824041	0	0	0	0	0	3
16	4	0	0.301544878	-9.87414575	4.77123605	-9.87414575	12.7564789	7.38824041	0	0	0	0	0	3
17	4	0	0.320391433	-12.7741094	3.73915691	-12.7741094	12.7564789	7.38824041	0	0	0	0	0	3
18	5	0	0.339237988	-16.1473166	2.63435282	-16.1473166	12.7564789	7.95359361	0	0	0	0	0	3
19	5	0	0.358084543	-17.9451369	1.55122179	-17.9451369	12.7564789	9.03672464	0	0	0	0	0	3
20	5	0	0.376931098	-21.0543393	0.420943733	-21.0543393	12.7564789	10.1670027	0	0	0	0	0	3
21	5	0	0.395777652	-22.4912349	-0.670112392	-22.4912349	12.7564789	11.2580588	0	0	0	0	0	3
22	5	0	0.414624207	-24.8136077	-1.767544	-24.8136077	12.7564789	12.3554904	0	0	0	0	0	3
23	6	0	0.433470762	-27.3776317	-2.88102607	-27.3776317	12.7564789	13.4689725	0	0	0	0	0	3
24	6	0	0.452317317	-29.5853937	-3.99370806	-29.5853937	12.7564789	14.5816545	0	0	0	0	0	3
25	6	0	0.471163872	-31.559884	-5.09635509	-31.559884	12.7564789	15.6843015	0	0	0	0	0	3
26	6	0	0.490010427	-33.7824422	-6.19966614	-33.7824422	12.7564789	16.7876126	0	0	0	0	0	3
27	6	0	0.508856982	-36.4773227	-7.32106083	-36.4773227	12.7564789	17.9090073	0	0	0	0	0	3
28	7	0	0.527703537	-38.6374986	-8.87058692	-38.6374986	12.7564789	19.4585334	0	0	0	0	0	3
29	7	0	0.546550091	-40.7807398	-10.8466278	-40.7807398	12.7564789	21.4345742	0	0	0	0	0	3
30	7	0	0.565396646	-41.8553234	-12.8615298	-41.8553234	12.7564789	23.4494763	0	0	0	0	0	3
31	7	0	0.584243201	-42.9679807	-14.9253987	-42.9679807	11.4055645	25.5133451	0	0	0	0	0	3
32	7	0	0.603089756	-43.0548614	-16.9424515	-43.0548614	11.0465337	27.530398	0	0	0	0	0	3
33	8	0	0.621936311	-42.9606994	-18.9427194	-43.0548614	10.472057	29.5141102	0	0	0	0	0	3
34	8	0	0.640782866	-42.5551861	-20.9066914	-43.0548614	10.2895596	31.4428533	0	0	0	0	0	3
35	8	0	0.659629421	-42.6607219	-22.8678129	-43.0548614	7.02969422	32.9784888	0	0	0	0	0	3
36	8	0	0.678475976	-41.7941859	-24.6641453	-43.0548614	7.02969422	34.466723	0	0	0	0	0	3
37	9	0	0.69732253	-41.4986697	-26.4614921	-43.0548614	3.49854644	35.690976	0	0	0	0	0	3
38	9	0	0.716169085	-40.2371263	-28.0813318	-43.0548614	-0.0849574382	36.5346123	0	0	0	0	0	3
39	9	0	0.73501564	-39.5538904	-29.5431441	-43.0548614	-2.93051087	37.1207484	0	0	0	0	0	3
40	9	0	0.753862195	-38.6190717	-30.8649427	-43.0548614	-5.69064527	37.3642161	0	0	0	0	0	3
41	9	0	0.77270875	-37.2840185	-32.0350676	-43.0548614	-6.60428718	36.4505742	0	0	0	0	0	3
42	10	0	0.791555305	-36.6291827	-33.1471008	-43.0548614	-9.87414575	33.1807156	0	0	0	0	0	3
43	10	0	0.81040186	-35.5131493	-34.0966935	-43.0548614	-12.7741094	30.280752	0	0	0	0	0	3
44	10	0	0.829248415	-34.0214216	-34.883631	-43.0548614	-16.1473166	26.9075448	0	0	0	0	0	3
45	10	0	0.848094969	-32.2977184	-35.481794	-43.0548614	-17.9451369	25.1097245	0	0	0	0	0	3
46	10	0	0.866941524	-31.3321594	-35.9776097	-43.0548614	-21.0543393	22.0005221	0	0	0	0	0	3
47	10	0	0.885788079	-30.750245	-36.3367173	-43.0548614	-22.4912349	20.5636265	0	0	0	0	0	3
48	11	0	0.904634634	-30.048518	-36.6166167	-43.0548614	-24.8136077	18.2412537	0	0	0	0	0	3
49	11	0	0.923481189	-29.7510039	-36.7994832	-43.0548614	-27.3776317	15.6772297	0	0	0	0	0	3
50	11	0	0.942327744	-29.4836624	-36.8774843	-43.0548614	-29.4836624	13.571199	0	0	0	0	0	3
51	11	0	0.961174299	-29.3582666	-36.8690722	-43.0548614	-29.3582666	13.6965948	0	0	0	0	0	3
52	11	0	0.980020854	-29.5033389	-36.7929039	-43.0548614	-29.3582666	13.6965948	0	0	0	0	0	3
