Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188465549	-62.7015802	-62.7015802	-62.7015802	-62.7015802	0	0	0	0	0	0	3
2	1	0	0.0376931098	-108.098165	-85.3998726	-108.098165	-62.7015802	22.6982924	0	0	0	0	0	3
3	1	0	0.0565396646	-117.35152	-96.0504218	-117.35152	-62.7015802	33.3488416	0	0	0	0	0	3
4	1	0	0.0753862195	-131.378183	-104.882362	-131.378183	-62.7015802	42.1807819	0	0	0	0	0	3
5	2	0	0.0942327744	-137.588556	-111.423601	-137.588556	-62.7015802	48.7220206	0	0	0	0	0	3
6	2	0	0.113079329	-149.476127	-117.765689	-149.476127	-62.7015802	55.0641083	0	0	0	0	0	3
7	2	0	0.131925884	-165.15628	-124.535773	-165.15628	-62.7015802	61.8341929	0	0	0	0	0	3
8	3	0	0.150772439	-174.487638	-130.779756	-174.487638	-62.7015802	68.0781761	0	0	0	0	0	3
9	3	0	0.169618994	-185.564008	-136.866895	-185.564008	-62.7015802	74.1653151	0	0	0	0	0	3
10	3	0	0.188465549	-190.148264	-142.195032	-190.148264	-62.7015802	79.493452	0	0	0	0	0	3
11	3	0	0.207312104	-193.237888	-146.835292	-193.237888	-62.7015802	84.1337116	0	0	0	0	0	3
12	3	0	0.226158659	-199.190501	-151.198226	-199.190501	-62.7015802	88.4966457	0	0	0	0	0	3
13	4	0	0.245005213	-200.309553	-154.97602	-200.309553	-62.7015802	92.2744401	0	0	0	0	0	3
14	4	0	0.263851768	-204.172978	-158.490089	-204.172978	-62.7015802	95.7885085	0	0	0	0	0	3
15	4	0	0.282698323	-211.70316	-162.037627	-211.70316	-62.7015802	99.3360466	0	0	0	0	0	3
16	4	0	0.301544878	-215.191596	-165.35975	-215.191596	-62.7015802	102.65817	0	0	0	0	0	3
17	4	0	0.320391433	-225.395718	-168.891277	-225.395718	-62.7015802	106.189697	0	0	0	0	0	3
18	5	0	0.339237988	-231.300126	-172.358436	-231.300126	-62.7015802	109.656855	0	0	0	0	0	3
19	5	0	0.358084543	-238.427458	-175.835753	-238.427458	-62.7015802	113.134172	0	0	0	0	0	3
20	5	0	0.376931098	-243.444261	-179.216178	-243.444261	-62.7015802	116.514598	0	0	0	0	0	3
21	5	0	0.395777652	-248.464351	-182.51371	-248.464351	-62.7015802	119.81213	0	0	0	0	0	3
22	5	0	0.414624207	-252.857785	-185.711168	-252.857785	-62.7015802	123.009588	0	0	0	0	0	3
23	6	0	0.433470762	-263.014655	-189.072189	-263.014655	-62.7015802	126.370609	0	0	0	0	0	3
24	6	0	0.452317317	-272.331063	-192.541309	-272.331063	-62.7015802	129.839729	0	0	0	0	0	3
25	6	0	0.471163872	-278.296454	-195.971515	-278.296454	-62.7015802	133.269935	0	0	0	0	0	3
26	6	0	0.490010427	-286.429839	-199.450681	-286.429839	-62.7015802	136.749101	0	0	0	0	0	3
27	6	0	0.508856982	-292.070012	-202.881027	-292.070012	-62.7015802	140.179446	0	0	0	0	0	3
28	7	0	0.527703537	-296.514117	-211.54075	-296.514117	-108.098165	126.140878	0	0	0	0	0	3
29	7	0	0.546550091	-297.576763	-218.558476	-297.576763	-117.35152	122.508054	0	0	0	0	0	3
30	7	0	0.565396646	-301.448397	-225.376879	-301.448397	-131.378183	120.494517	0	0	0	0	0	3
31	7	0	0.584243201	-303.591223	-231.75514	-303.591223	-137.588556	120.331539	0	0	0	0	0	3
32	7	0	0.603089756	-303.274526	-237.891657	-303.591223	-149.476127	120.125969	0	0	0	0	0	3
33	8	0	0.621936311	-299.81839	-243.459889	-303.591223	-165.15628	118.924116	0	0	0	0	0	3
34	8	0	0.640782866	-296.582689	-248.327534	-303.591223	-174.487638	117.547778	0	0	0	0	0	3
35	8	0	0.659629421	-292.436088	-252.695995	-303.591223	-185.564008	115.8291	0	0	0	0	0	3
36	8	0	0.678475976	-287.444887	-256.469361	-303.591223	-190.148264	113.442958	0	0	0	0	0	3
37	9	0	0.69732253	-281.726573	-259.86115	-303.591223	-193.237888	110.353335	0	0	0	0	0	3
38	9	0	0.716169085	-275.745435	-262.916985	-303.591223	-199.190501	104.400722	0	0	0	0	0	3
39	9	0	0.73501564	-270.651363	-265.563684	-303.591223	-200.309553	103.28167	0	0	0	0	0	3
40	9	0	0.753862195	-267.162656	-268.039725	-303.591223	-204.172978	99.4182442	0	0	0	0	0	3
41	9	0	0.77270875	-265.689989	-270.318132	-303.591223	-211.70316	91.8880629	0	0	0	0	0	3
42	10	0	0.791555305	-264.528841	-272.274639	-303.591223	-215.191596	88.399627	0	0	0	0	0	3
43	10	0	0.81040186	-262.557079	-274.028916	-303.591223	-225.395718	78.1955049	0	0	0	0	0	3
44	10	0	0.829248415	-261.69548	-275.373352	-303.591223	-231.300126	72.291097	0	0	0	0	0	3
45	10	0	0.848094969	-260.394739	-276.45093	-303.591223	-238.427458	65.163765	0	0	0	0	0	3
46	10	0	0.866941524	-260.124567	-277.254527	-303.591223	-243.444261	60.1469613	0	0	0	0	0	3
47	10	0	0.885788079	-259.308819	-277.842103	-303.591223	-248.464351	55.1268714	0	0	0	0	0	3
