Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188465549	7.86856557e-09	7.86856557e-09	7.86856557e-09	7.86856557e-09	0	0	0	0	0	0	3
2	1	0	0.0376931098	2.55851195e-08	1.67268425e-08	7.86856557e-09	2.55851195e-08	8.85827696e-09	0	0	0	0	0	3
3	1	0	0.0565396646	2.65545066e-08	2.00027306e-08	7.86856557e-09	2.65545066e-08	1.2134165e-08	0	0	0	0	0	3
4	1	0	0.0753862195	3.26800974e-08	2.31720723e-08	7.86856557e-09	3.26800974e-08	1.53035067e-08	0	0	0	0	0	3
5	2	0	0.0942327744	3.72917726e-08	2.59960123e-08	7.86856557e-09	3.72917726e-08	1.81274468e-08	0	0	0	0	0	3
6	2	0	0.113079329	4.11614188e-08	2.85235801e-08	7.86856557e-09	4.11614188e-08	2.06550145e-08	0	0	0	0	0	3
7	2	0	0.131925884	4.5234485e-08	3.09108522e-08	7.86856557e-09	4.5234485e-08	2.30422867e-08	0	0	0	0	0	3
8	3	0	0.150772439	4.76339259e-08	3.30012364e-08	7.86856557e-09	4.76339259e-08	2.51326709e-08	0	0	0	0	0	3
9	3	0	0.169618994	4.93185324e-08	3.48142693e-08	7.86856557e-09	4.93185324e-08	2.69457037e-08	0	0	0	0	0	3
10	3	0	0.188465549	4.97083667e-08	3.63036791e-08	7.86856557e-09	4.97083667e-08	2.84351135e-08	0	0	0	0	0	3
11	3	0	0.207312104	5.13752639e-08	3.76738231e-08	7.86856557e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
12	3	0	0.226158659	4.6102404e-11	3.45381797e-08	4.6102404e-11	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
13	4	0	0.245005213	-4.07053138e-10	3.18500849e-08	-4.07053138e-10	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
14	4	0	0.263851768	-7.41056332e-10	2.95221462e-08	-7.41056332e-10	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
15	4	0	0.282698323	-9.78260484e-10	2.74887858e-08	-9.78260484e-10	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
16	4	0	0.301544878	-1.0093313e-09	2.57076535e-08	-1.0093313e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
17	4	0	0.320391433	-1.11798355e-09	2.41296748e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
18	5	0	0.339237988	-8.51397862e-10	2.27418375e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
19	5	0	0.358084543	-5.94602092e-10	2.15136038e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
20	5	0	0.376931098	-7.77232658e-11	2.04340374e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
21	5	0	0.395777652	6.49712111e-10	1.94919267e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
22	5	0	0.414624207	1.46131299e-09	1.86723534e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
23	6	0	0.433470762	2.19434357e-09	1.79559182e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
24	6	0	0.452317317	3.03442102e-09	1.73341891e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
25	6	0	0.471163872	4.04391122e-09	1.6802578e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
26	6	0	0.490010427	5.56043479e-09	1.63701879e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
27	6	0	0.508856982	6.94031648e-09	1.60209334e-08	-1.11798355e-09	5.13752639e-08	2.98052576e-08	0	0	0	0	0	3
28	7	0	0.527703537	8.07069851e-09	1.60284198e-08	-1.11798355e-09	5.13752639e-08	2.16528898e-08	0	0	0	0	0	3
29	7	0	0.546550091	9.15741695e-09	1.54199863e-08	-1.11798355e-09	5.13752639e-08	2.22538368e-08	0	0	0	0	0	3
30	7	0	0.565396646	1.02945968e-08	1.48177675e-08	-1.11798355e-09	5.13752639e-08	2.28560557e-08	0	0	0	0	0	3
31	7	0	0.584243201	1.12698853e-08	1.40247966e-08	-1.11798355e-09	5.13752639e-08	2.36490265e-08	0	0	0	0	0	3
32	7	0	0.603089756	1.21146255e-08	1.30923097e-08	-1.11798355e-09	5.13752639e-08	2.45815134e-08	0	0	0	0	0	3
33	8	0	0.621936311	1.2715483e-08	1.20387565e-08	-1.11798355e-09	5.13752639e-08	2.56350666e-08	0	0	0	0	0	3
34	8	0	0.640782866	1.31636374e-08	1.08509474e-08	-1.11798355e-09	5.13752639e-08	2.68228758e-08	0	0	0	0	0	3
35	8	0	0.659629421	1.3454364e-08	9.58503767e-09	-1.11798355e-09	5.13752639e-08	2.80887855e-08	0	0	0	0	0	3
36	8	0	0.678475976	1.38000663e-08	8.26953893e-09	-1.11798355e-09	5.13752639e-08	2.94042842e-08	0	0	0	0	0	3
37	9	0	0.69732253	1.40009341e-08	6.94704142e-09	-1.11798355e-09	5.13752639e-08	3.07267817e-08	0	0	0	0	0	3
38	9	0	0.716169085	1.40689623e-08	5.56532655e-09	-1.11798355e-09	1.40689623e-08	1.51869459e-08	0	0	0	0	0	3
39	9	0	0.73501564	1.41931232e-08	6.08929028e-09	-1.11798355e-09	1.41931232e-08	1.53111068e-08	0	0	0	0	0	3
40	9	0	0.753862195	1.41904766e-08	6.62993953e-09	-1.11798355e-09	1.41931232e-08	1.53111068e-08	0	0	0	0	0	3
41	9	0	0.77270875	1.46164297e-08	7.19873531e-09	-1.11798355e-09	1.46164297e-08	1.57344132e-08	0	0	0	0	0	3
42	10	0	0.791555305	1.34497727e-08	7.73310691e-09	-1.11798355e-09	1.46164297e-08	1.57344132e-08	0	0	0	0	0	3
43	10	0	0.81040186	1.38504074e-08	8.2834676e-09	-1.11798355e-09	1.46164297e-08	1.57344132e-08	0	0	0	0	0	3
44	10	0	0.829248415	1.29895821e-08	8.80597004e-09	-8.51397862e-10	1.46164297e-08	1.54678275e-08	0	0	0	0	0	3
45	10	0	0.848094969	1.27781409e-08	9.31076777e-09	-5.94602092e-10	1.46164297e-08	1.52110317e-08	0	0	0	0	0	3
46	10	0	0.866941524	1.27459735e-08	9.80486316e-09	-7.77232658e-11	1.46164297e-08	1.46941529e-08	0	0	0	0	0	3
47	10	0	0.885788079	1.32130474e-08	1.02971139e-08	6.49712111e-10	1.46164297e-08	1.39266002e-08	0	0	0	0	0	3
48	11	0	0.904634634	1.37415084e-08	1.07819953e-08	1.46131299e-09	1.46164297e-08	1.31070268e-08	0	0	0	0	0	3
49	11	0	0.923481189	1.05482665e-08	1.11185491e-08	2.19434357e-09	1.46164297e-08	1.23905916e-08	0	0	0	0	0	3
50	11	0	0.942327744	1.24244411e-08	1.14974416e-08	3.03442102e-09	1.46164297e-08	1.15820086e-08	0	0	0	0	0	3
51	11	0	0.961174299	1.17793389e-08	1.18213275e-08	4.04391122e-09	1.46164297e-08	1.05725184e-08	0	0	0	0	0	3
52	11	0	0.980020854	8.40202626e-09	1.19827391e-08	5.56043479e-09	1.46164297e-08	9.05599486e-09	0	0	0	0	0	3
53	11	0	0.998867408	1.07005961e-08	1.21731155e-08	6.94031648e-09	1.46164297e-08	7.67611318e-09	0	0	0	0	0	3
54	11	0	1.01771396	1.23777367e-08	1.23745014e-08	8.07069851e-09	1.46164297e-08	6.54573114e-09	0.000148330293	0	100	0	0	3
55	12	0	1.03656052	1.55603123e-08	1.26518945e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000148118783	0	100	0	0	3
56	12	0	1.05540707	1.41529272e-08	1.28369134e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000147140186	0	100	0	0	3
57	12	0	1.07425363	1.36522849e-08	1.29612722e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000146990708	0	100	0	0	3
58	12	0	1.09310018	1.35739679e-08	1.30466086e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000143684415	0	100	0	0	3
59	12	0	1.11194674	1.13201525e-08	1.30171837e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000141429069	0	100	0	0	3
60	12	0	1.13079329	1.39677888e-08	1.30635654e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000139099988	0	100	0	0	3
61	13	0	1.14963985	8.83809564e-09	1.29033601e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000138141242	0	100	0	0	3
62	13	0	1.1684864	1.48485138e-08	1.29549953e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000136281381	0	100	0	0	3
63	13	0	1.18733296	1.4586776e-08	1.29841327e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000133988801	0	100	0	0	3
64	13	0	1.20617951	1.40625974e-08	1.29864165e-08	8.40202626e-09	1.55603123e-08	7.15828601e-09	0.000133648507	0	100	0	0	3
65	13	0	1.22502607	1.43341219e-08	1.29962373e-08	8.40202626e-09	1.55603123e-08	6.9742751e-09	0.000132503764	0	100	0	0	3
66	13	0	1.24387262	1.43750808e-08	1.30029764e-08	8.40202626e-09	1.55603123e-08	6.43362585e-09	0.000132099299	0	100	0	0	3
67	14	0	1.26271918	1.38227895e-08	1.29893584e-08	8.40202626e-09	1.55603123e-08	5.86483007e-09	0.000131345717	0	100	0	0	3
68	14	0	1.28156573	1.46336234e-08	1.29899952e-08	8.40202626e-09	1.55603123e-08	5.33045847e-09	0.000129622571	0	100	0	0	3
69	14	0	1.30041229	1.32647669e-08	1.29831431e-08	8.40202626e-09	1.55603123e-08	4.78009778e-09	0.000129881592	0	100	0	0	3
70	14	0	1.31925884	1.11915639e-08	1.28846674e-08	8.40202626e-09	1.55603123e-08	4.25759535e-09	0.000129253487	0	100	0	0	3
71	14	0	1.3381054	1.1544056e-08	1.28311294e-08	8.40202626e-09	1.55603123e-08	3.75279761e-09	0.000129854663	0	100	0	0	3
72	14	0	1.35695195	4.96412488e-09	1.25417214e-08	4.96412488e-09	1.55603123e-08	3.25870222e-09	0.000129985359	0	100	0	0	3
73	14	0	1.37579851	1.15987409e-08	1.24992313e-08	4.96412488e-09	1.55603123e-08	2.76645146e-09	0.000129842016	0	100	0	0	3
74	15	0	1.39464506	1.13308737e-08	1.24295212e-08	4.96412488e-09	1.55603123e-08	2.28157011e-09	0.000128984369	0	100	0	0	3
75	15	0	1.41349162	6.19236015e-09	1.21499231e-08	4.96412488e-09	1.55603123e-08	1.94501628e-09	0.000129592843	0	100	0	0	3
76	15	0	1.43233817	1.01437753e-08	1.2134942e-08	4.96412488e-09	1.55603123e-08	1.56612378e-09	0.000128885966	0	100	0	0	3
77	15	0	1.45118473	1.14851591e-08	1.21001537e-08	4.96412488e-09	1.55603123e-08	1.24223793e-09	0.000128222635	0	100	0	0	3
78	15	0	1.47003128	1.1426632e-08	1.20870905e-08	4.96412488e-09	1.55603123e-08	1.08082626e-09	0.000128034651	0	100	0	0	3
79	15	0	1.48887784	9.41334452e-09	1.21245468e-08	4.96412488e-09	1.55603123e-08	9.76474865e-10	0.000126992139	0	100	0	0	3
80	16	0	1.50772439	1.06918154e-08	1.21242215e-08	4.96412488e-09	1.55603123e-08	9.76474865e-10	0.000127249935	0	100	0	0	3
81	16	0	1.52657094	1.05517013e-08	1.20565906e-08	4.96412488e-09	1.55603123e-08	1.00697479e-09	0.000126154989	0	100	0	0	3
82	16	0	1.5454175	8.25385235e-09	1.1785981e-08	4.96412488e-09	1.48485138e-08	1.27758441e-09	0.000125208097	0	100	0	0	3
83	16	0	1.56426405	9.97525428e-09	1.16312523e-08	4.96412488e-09	1.48485138e-08	1.43231304e-09	0.000125873088	0	100	0	0	3
84	16	0	1.58311061	8.54693522e-09	1.14421653e-08	4.96412488e-09	1.48485138e-08	1.62140006e-09	0.000125842645	0	100	0	0	3
85	16	0	1.60195716	1.26387525e-08	1.14075277e-08	4.96412488e-09	1.48485138e-08	1.65603767e-09	0.000125495426	0	100	0	0	3
86	17	0	1.62080372	1.05747756e-08	1.13799212e-08	4.96412488e-09	1.48485138e-08	1.68364423e-09	0.000124862091	0	100	0	0	3
87	17	0	1.63965027	7.99338499e-09	1.11586469e-08	4.96412488e-09	1.48485138e-08	1.84432949e-09	0.000124611765	0	100	0	0	3
