Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0225184399	0	0	0	0	0	0	0	0	0	0	3
2	0	0	0.0450368799	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0675553198	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0900737598	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.1125922	0	0	0	0	0	0	0	0	0	0	3
6	1	0	0.13511064	0	0	0	0	0	0	0	0	0	0	3
7	1	0	0.15762908	0	0	0	0	0	0	0	0	0	0	3
8	1	0	0.18014752	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.202665959	0	0	0	0	0	0	0	0	0	0	3
10	2	0	0.225184399	0	0	0	0	0	0	0	0	0	0	3
11	2	0	0.247702839	0	0	0	0	0	0	0	0	0	0	3
12	2	0	0.270221279	0	0	0	0	0	0	0	0	0	0	3
13	2	0	0.292739719	0	0	0	0	0	0	0	0	0	0	3
14	2	0	0.315258159	0	0	0	0	0	0	0	0	0	0	3
15	2	0	0.337776599	0	0	0	0	0	0	0	0	0	0	3
16	3	0	0.360295039	0	0	0	0	0	0	0	0	0	0	3
17	3	0	0.382813479	0	0	0	0	0	0	0	0	0	0	3
18	3	0	0.405331919	0	0	0	0	0	0	0	0	0	0	3
19	3	0	0.427850359	0	0	0	0	0	0	0	0	0	0	3
20	3	0	0.450368799	0	0	0	0	0	0	0	0	0	0	3
21	3	0	0.472887239	0	0	0	0	0	0	0	0	0	0	3
22	3	0	0.495405679	0	0	0	0	0	0	0	0	0	0	3
23	4	0	0.517924119	0	0	0	0	0	0	0	0	0	0	3
24	4	0	0.540442559	0	0	0	0	0	0	0	0	0	0	3
25	4	0	0.562960999	0	0	0	0	0	0	0	0	0	0	3
26	4	0	0.585479438	0	0	0	0	0	0	0	0	0	0	3
27	4	0	0.607997878	0	0	0	0	0	0	0	0	0	0	3
