Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.0225184399	89442.7325	89442.7325	89442.7325	89442.7325	0	0	0	0	0	0	3
2	0	0	0.0450368799	89800.1333	89621.4329	89442.7325	89800.1333	178.70038	0	0	0	0	0	3
3	1	0	0.0675553198	90230.4251	89824.4303	89442.7325	90230.4251	381.697783	0	0	0	0	0	3
4	1	0	0.0900737598	90597.1988	90017.6224	89442.7325	90597.1988	574.889907	0	0	0	0	0	3
5	1	0	0.1125922	90365.082	90087.1143	89442.7325	90597.1988	644.381813	0	0	0	0	0	3
6	1	0	0.13511064	91005.5295	90240.1835	89442.7325	91005.5295	797.451007	0	0	0	0	0	3
7	1	0	0.15762908	91866.6718	90472.539	89442.7325	91866.6718	1029.80647	0	0	0	0	0	3
8	1	0	0.18014752	92786.6828	90761.807	89442.7325	92786.6828	1319.07444	0	0	0	0	0	3
9	2	0	0.202665959	93488.2642	91064.7467	89442.7325	93488.2642	1622.01413	0	0	0	0	0	3
10	2	0	0.225184399	94301.819	91388.4539	89442.7325	94301.819	1945.72136	0	0	0	0	0	3
11	2	0	0.247702839	95366.3834	91750.0839	89442.7325	95366.3834	2307.35132	0	0	0	0	0	3
12	2	0	0.270221279	96345.6628	92133.0488	89442.7325	96345.6628	2690.31623	0	0	0	0	0	3
13	2	0	0.292739719	96854.7543	92496.2569	89442.7325	96854.7543	3053.52435	0	0	0	0	0	3
14	2	0	0.315258159	97570.9894	92858.7378	89442.7325	97570.9894	3416.00524	0	0	0	0	0	3
15	2	0	0.337776599	97836.8312	93190.6107	89442.7325	97836.8312	3747.87814	0	0	0	0	0	3
16	3	0	0.360295039	98242.1496	93506.3319	89442.7325	98242.1496	4063.59932	0	0	0	0	0	3
17	3	0	0.382813479	98571.953	93804.3096	89442.7325	98571.953	4361.57704	0	0	0	0	0	3
18	3	0	0.405331919	98819.6068	94082.9372	89442.7325	98819.6068	4640.20466	0	0	0	0	0	3
19	3	0	0.427850359	99147.0594	94349.4699	89442.7325	99147.0594	4906.73741	0	0	0	0	0	3
20	3	0	0.450368799	99373.7541	94600.6842	89442.7325	99373.7541	5157.95162	0	0	0	0	0	3
21	3	0	0.472887239	99624.9304	94839.934	89442.7325	99624.9304	5397.20144	0	0	0	0	0	3
22	3	0	0.495405679	99846.6855	95067.5136	89442.7325	99846.6855	5624.78105	0	0	0	0	0	3
23	4	0	0.517924119	100078.299	95285.3738	89442.7325	100078.299	5842.64128	0	0	0	0	0	3
24	4	0	0.540442559	100294.6	95757.1941	89800.1333	100294.6	6135.76123	0	0	0	0	0	3
25	4	0	0.562960999	100456.611	96220.5193	90230.4251	100456.611	6396.08897	0	0	0	0	0	3
26	4	0	0.585479438	100626.749	96672.5334	90365.082	100626.749	6654.91094	0	0	0	0	0	3
27	4	0	0.607997878	100773.345	97114.9745	90365.082	100773.345	7027.86018	0	0	0	0	0	3
28	4	0	0.630516318	100914.227	97573.633	91005.5295	100914.227	7333.44948	0	0	0	0	0	3
29	4	0	0.653034758	101035.424	98009.7154	91866.6718	101035.424	7537.17641	0	0	0	0	0	3
30	5	0	0.675553198	101139.577	98412.8852	92786.6828	101139.577	7651.07822	0	0	0	0	0	3
31	5	0	0.698071638	101236.748	98780.2793	93488.2642	101236.748	7715.53266	0	0	0	0	0	3
32	5	0	0.720590078	101330.925	99121.2646	94301.819	101330.925	7029.10613	0	0	0	0	0	3
33	5	0	0.743108518	101420.024	99430.7517	95366.3834	101420.024	6053.6401	0	0	0	0	0	3
34	5	0	0.765626958	101497.95	99697.3416	96345.6628	101497.95	5152.28747	0	0	0	0	0	3
35	5	0	0.788145398	101564.306	99924.2391	96854.7543	101564.306	4709.55203	0	0	0	0	0	3
36	6	0	0.810663838	101624.365	100131.614	97570.9894	101624.365	4053.37534	0	0	0	0	0	3
37	6	0	0.833182278	101685.094	100310.488	97836.8312	101685.094	3848.2628	0	0	0	0	0	3
38	6	0	0.855700718	101737.249	100480.071	98242.1496	101737.249	3495.09901	0	0	0	0	0	3
39	6	0	0.878219158	101777.799	100633.795	98571.953	101777.799	3205.84629	0	0	0	0	0	3
40	6	0	0.900737598	101815.204	100774.806	98819.6068	101815.204	2995.59731	0	0	0	0	0	3
41	7	0	0.923256038	101849.21	100906.528	99147.0594	101849.21	2702.15065	0	0	0	0	0	3
42	7	0	0.945774478	101881.099	101025.399	99373.7541	101881.099	2507.34471	0	0	0	0	0	3
43	7	0	0.968292917	101908.585	101135.609	99624.9304	101908.585	2283.65461	0	0	0	0	0	3
44	7	0	0.990811357	101931.758	101235.906	99846.6855	101931.758	2085.0723	0	0	0	0	0	3
45	7	0	1.0133298	101948.906	101327.307	100078.299	101948.906	1870.60745	464.192476	0	24.8	0	0	3
46	7	0	1.03584824	101960.842	101409.156	100294.6	101960.842	1666.24219	464.665287	0	27.8	0	0	3
47	8	0	1.05836668	101970.848	101482.037	100456.611	101970.848	1514.23648	464.863457	0	30.6	0	0	3
48	8	0	1.08088512	101976.291	101548.11	100626.749	101976.291	1349.54188	464.192476	0	34.3	0	0	3
49	8	0	1.10340356	101977.141	101606.823	100773.345	101977.141	1203.79604	464.192476	0	38.5	0	0	3
50	8	0	1.125922	101977.731	101659.187	100914.227	101977.731	1063.50363	464.192476	0	43.6	0	0	3
51	8	0	1.14844044	101974.705	101705.295	101035.424	101977.731	942.306683	464.192476	0	49.2	0	0	3
52	8	0	1.17095888	101966.977	101745.797	101139.577	101977.731	838.154155	464.192476	0	55.3	0	0	3
53	8	0	1.19347732	101956.786	101781.328	101236.748	101977.731	740.983322	464.192476	0	62.6	0	0	3
54	9	0	1.21599576	101944.888	101812.117	101330.925	101977.731	646.805899	464.192476	0	71.7	0	0	3
55	9	0	1.2385142	101939.211	101838.564	101420.024	101977.731	557.707511	464.192476	0	83.2	0	0	3
56	9	0	1.26103264	101941.559	101861.239	101497.95	101977.731	479.780779	464.192476	0	96.7	0	0	3
57	9	0	1.28355108	101954.295	101881.08	101564.306	101977.731	413.424669	464.192476	0	100	0	0	3
58	9	0	1.30606952	101965.164	101898.509	101624.365	101977.731	353.366328	464.192476	0	100	0	0	3
59	9	0	1.32858796	101976.864	101913.835	101685.094	101977.731	292.637021	464.192476	0	100	0	0	3
60	9	0	1.3511064	101990.473	101927.112	101737.249	101990.473	253.224891	464.192476	0	100	0	0	3
61	10	0	1.37362484	102005.408	101938.772	101777.799	102005.408	227.609097	464.192476	0	100	0	0	3
62	10	0	1.39614328	102014.75	101949.074	101815.204	102014.75	199.545599	464.192476	0	100	0	0	3
63	10	0	1.41866172	102022.05	101958.067	101849.21	102022.05	172.839927	464.192476	0	100	0	0	3
64	10	0	1.44118016	102028.938	101965.881	101881.099	102028.938	147.839242	464.192476	0	100	0	0	3
65	10	0	1.4636986	102036.659	101972.645	101908.585	102036.659	128.074325	464.192476	0	100	0	0	3
66	10	0	1.48621704	102040.574	101978.384	101931.758	102040.574	108.816412	464.192476	0	100	0	0	3
67	10	0	1.50873548	102044.728	101983.295	101939.211	102044.728	105.517425	464.192476	0	100	0	0	3
68	10	0	1.53125392	102046.261	101987.528	101939.211	102046.261	107.050051	464.192476	0	100	0	0	3
69	11	0	1.55377236	102049.329	101991.375	101939.211	102049.329	110.118271	464.192476	0	100	0	0	3
70	11	0	1.5762908	102050.747	101994.849	101939.211	102050.747	111.536337	464.192476	0	100	0	0	3
71	11	0	1.59880924	102053.77	101998.218	101939.211	102053.77	114.558859	464.192476	0	100	0	0	3
72	11	0	1.62132768	102054.697	102001.59	101939.211	102054.697	115.486678	464.192476	0	100	0	0	3
73	11	0	1.64384612	102059.143	102005.129	101939.211	102059.143	119.93257	464.192476	0	100	0	0	3
