Iteration	CPUTime	PhysTime	Travels
1	0	0	0.0225184399
2	0	0	0.0450368799
3	1	0	0.0675553198
4	1	0	0.0900737598
5	1	0	0.1125922
6	1	0	0.13511064
7	1	0	0.15762908
8	1	0	0.18014752
9	2	0	0.202665959
10	2	0	0.225184399
11	2	0	0.247702839
12	2	0	0.270221279
13	2	0	0.292739719
14	2	0	0.315258159
15	2	0	0.337776599
16	3	0	0.360295039
17	3	0	0.382813479
18	3	0	0.405331919
19	3	0	0.427850359
20	3	0	0.450368799
21	3	0	0.472887239
22	3	0	0.495405679
23	4	0	0.517924119
24	4	0	0.540442559
25	4	0	0.562960999
26	4	0	0.585479438
27	4	0	0.607997878
28	4	0	0.630516318
29	4	0	0.653034758
30	5	0	0.675553198
31	5	0	0.698071638
32	5	0	0.720590078
33	5	0	0.743108518
34	5	0	0.765626958
35	5	0	0.788145398
36	6	0	0.810663838
37	6	0	0.833182278
38	6	0	0.855700718
39	6	0	0.878219158
40	6	0	0.900737598
41	7	0	0.923256038
42	7	0	0.945774478
43	7	0	0.968292917
44	7	0	0.990811357
45	7	0	1.0133298
46	7	0	1.03584824
47	8	0	1.05836668
48	8	0	1.08088512
49	8	0	1.10340356
50	8	0	1.125922
51	8	0	1.14844044
52	8	0	1.17095888
53	8	0	1.19347732
54	9	0	1.21599576
55	9	0	1.2385142
56	9	0	1.26103264
57	9	0	1.28355108
58	9	0	1.30606952
59	9	0	1.32858796
60	9	0	1.3511064
61	10	0	1.37362484
62	10	0	1.39614328
63	10	0	1.41866172
64	10	0	1.44118016
65	10	0	1.4636986
66	10	0	1.48621704
67	10	0	1.50873548
68	10	0	1.53125392
69	11	0	1.55377236
70	11	0	1.5762908
71	11	0	1.59880924
72	11	0	1.62132768
73	11	0	1.64384612
74	11	0	1.66636456
75	11	0	1.688883
76	11	0	1.71140144
77	12	0	1.73391988
78	12	0	1.75643832
79	12	0	1.77895676
80	12	0	1.8014752
81	12	0	1.82399364
82	12	0	1.84651208
83	12	0	1.86903052
84	12	0	1.89154896
85	13	0	1.91406739
86	13	0	1.93658583
87	13	0	1.95910427
88	13	0	1.98162271
89	13	0	2.00414115
90	13	0	2.02665959
91	13	0	2.04917803
92	14	0	2.07169647
93	14	0	2.09421491
94	14	0	2.11673335
95	14	0	2.13925179
96	14	0	2.16177023
97	14	0	2.18428867
98	14	0	2.20680711
99	14	0	2.22932555
100	15	0	2.25184399
101	15	0	2.27436243
102	15	0	2.29688087
103	15	0	2.31939931
104	15	0	2.34191775
105	16	0	2.36443619
106	16	0	2.38695463
107	16	0	2.40947307
108	16	0	2.43199151
109	16	0	2.45450995
110	16	0	2.47702839
111	16	0	2.49954683
112	17	0	2.52206527
113	17	0	2.54458371
114	17	0	2.56710215
115	17	0	2.58962059
116	17	0	2.61213903
117	17	0	2.63465747
118	17	0	2.65717591
119	18	0	2.67969435
120	18	0	2.70221279
121	18	0	2.72473123
122	18	0	2.74724967
123	18	0	2.76976811
124	18	0	2.79228655
125	18	0	2.81480499
126	18	0	2.83732343
127	19	0	2.85984187
128	19	0	2.88236031
129	19	0	2.90487875
130	19	0	2.92739719
131	19	0	2.94991563
132	19	0	2.97243407
133	19	0	2.99495251
134	20	0	3.01747095
135	20	0	3.03998939
136	20	0	3.06250783
137	20	0	3.08502627
138	20	0	3.10754471
139	20	0	3.13006315
140	20	0	3.15258159
141	21	0	3.17510003
142	21	0	3.19761847
143	21	0	3.22013691
144	21	0	3.24265535
145	21	0	3.26517379
146	21	0	3.28769223
147	21	0	3.31021067
148	21	0	3.33272911
149	22	0	3.35524755
150	22	0	3.37776599
151	22	0	3.40028443
152	22	0	3.42280287
153	22	0	3.44532131
154	22	0	3.46783975
155	22	0	3.49035819
156	23	0	3.51287663
157	23	0	3.53539507
158	23	0	3.55791351
159	23	0	3.58043195
160	23	0	3.60295039
161	23	0	3.62546883
162	23	0	3.64798727
163	24	0	3.67050571
164	24	0	3.69302415
165	24	0	3.71554259
166	24	0	3.73806103
167	24	0	3.76057947
168	24	0	3.78309791
169	24	0	3.80561635
170	25	0	3.82813479
171	25	0	3.85065323
172	25	0	3.87317167
173	25	0	3.89569011
174	25	0	3.91820855
175	25	0	3.94072699
176	25	0	3.96324543
177	26	0	3.98576387
178	26	0	4.00828231
