Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0166116817	293.200221	293.200221	293.200221	293.200221	0	0	0	0	0	0	3
2	4	0	0.0332233635	293.200416	293.200319	293.200221	293.200416	9.79109899e-05	0	0	0	0	0	3
3	4	0	0.0498350452	293.200605	293.200414	293.200221	293.200605	0.000193419334	0	0	0	0	0	3
4	4	0	0.0664467269	293.200797	293.20051	293.200221	293.200797	0.000289216893	0	0	0	0	0	3
5	5	0	0.0830584087	293.200984	293.200605	293.200221	293.200984	0.000384044293	0	0	0	0	0	3
6	5	0	0.0996700904	293.201223	293.200708	293.200221	293.201223	0.000487041077	0	0	0	0	0	3
7	6	0	0.116281772	293.201428	293.200811	293.200221	293.201428	0.000589950214	0	0	0	0	0	3
8	6	0	0.132893454	293.201623	293.200912	293.200221	293.201623	0.000691497951	0	0	0	0	0	3
9	7	0	0.149505136	293.20181	293.201012	293.200221	293.20181	0.000791219431	0	0	0	0	0	3
10	7	0	0.166116817	293.201989	293.20111	293.200221	293.201989	0.000888959246	0	0	0	0	0	3
11	7	0	0.182728499	293.202267	293.201215	293.200221	293.202267	0.000994156912	0	0	0	0	0	3
12	8	0	0.199340181	293.202303	293.201305	293.200221	293.202303	0.00108481362	0	0	0	0	0	3
13	8	0	0.215951863	293.202292	293.201381	293.200221	293.202303	0.00116073523	0	0	0	0	0	3
14	9	0	0.232563544	293.202321	293.201448	293.200221	293.202321	0.00122783109	0	0	0	0	0	3
15	9	0	0.249175226	293.202305	293.201506	293.200221	293.202321	0.00128495057	0	0	0	0	0	3
16	10	0	0.265786908	293.202365	293.201559	293.200221	293.202365	0.0013386857	0	0	0	0	0	3
17	10	0	0.28239859	293.202404	293.201609	293.200221	293.202404	0.00138835874	0	0	0	0	0	3
18	11	0	0.299010271	293.202465	293.201657	293.200221	293.202465	0.00143589378	0	0	0	0	0	3
19	11	0	0.315621953	293.202493	293.201701	293.200221	293.202493	0.00147992169	0	0	0	0	0	3
20	12	0	0.332233635	293.202545	293.201743	293.200221	293.202545	0.00152216437	0	0	0	0	0	3
21	12	0	0.348845316	293.202596	293.201783	293.200221	293.202596	0.00156279627	0	0	0	0	0	3
22	13	0	0.365456998	293.202619	293.201821	293.200221	293.202619	0.00160076751	0	0	0	0	0	3
23	13	0	0.38206868	293.202618	293.201856	293.200221	293.202619	0.00163539677	0	0	0	0	0	3
24	14	0	0.398680362	293.202641	293.201889	293.200221	293.202641	0.00166809262	0	0	0	0	0	3
25	14	0	0.415292043	293.202635	293.201919	293.200221	293.202641	0.00169796202	0	0	0	0	0	3
26	14	0	0.431903725	293.202646	293.201947	293.200221	293.202646	0.00172592449	0	0	0	0	0	3
27	15	0	0.448515407	293.202623	293.201972	293.200221	293.202646	0.00175096069	0	0	0	0	0	3
28	15	0	0.465127089	293.202596	293.201994	293.200221	293.202646	0.00177325432	0	0	0	0	0	3
29	16	0	0.48173877	293.202563	293.202014	293.200221	293.202646	0.00179289001	0	0	0	0	0	3
30	16	0	0.498350452	293.202536	293.202031	293.200221	293.202646	0.00181029596	0	0	0	0	0	3
31	17	0	0.514962134	293.202523	293.202047	293.200221	293.202646	0.00182615324	0	0	0	0	0	3
32	17	0	0.531573816	293.202518	293.202121	293.200416	293.202646	0.00180234138	0	0	0	0	0	3
33	17	0	0.548185497	293.202526	293.202189	293.200605	293.202646	0.0017748727	0	0	0	0	0	3
34	18	0	0.564797179	293.202549	293.202252	293.200797	293.202646	0.00174177443	0	0	0	0	0	3
35	18	0	0.581408861	293.202587	293.202309	293.200984	293.202646	0.00166163231	0	0	0	0	0	3
36	19	0	0.598020542	293.202671	293.202364	293.201223	293.202671	0.00144822651	0	0	0	0	0	3
37	19	0	0.614632224	293.202774	293.202414	293.201428	293.202774	0.00134576496	0	0	0	0	0	3
38	20	0	0.631243906	293.202893	293.202461	293.201623	293.202893	0.00126988831	0	0	0	0	0	3
39	20	0	0.647855588	293.203033	293.202507	293.20181	293.203033	0.00122384188	0	0	0	0	0	3
40	21	0	0.664467269	293.203193	293.202551	293.201989	293.203193	0.00120379073	0	0	0	0	0	3
41	21	0	0.681078951	293.203456	293.202599	293.202267	293.203456	0.00118898934	0	0	0	0	0	3
42	22	0	0.697690633	293.203752	293.202646	293.202292	293.203752	0.00134095801	0	0	0	0	0	3
43	22	0	0.714302315	293.20407	293.202703	293.202292	293.20407	0.00132205047	0	0	0	0	0	3
44	23	0	0.730913996	293.20441	293.202772	293.202305	293.20441	0.00132327752	0	0	0	0	0	3
45	23	0	0.747525678	293.204761	293.202851	293.202305	293.204761	0.00134488662	0	0	0	0	0	3
46	24	0	0.76413736	293.205127	293.202942	293.202365	293.205127	0.00138216385	0	0	0	0	0	3
47	24	0	0.780749042	293.205496	293.203043	293.202404	293.205496	0.00143348855	0	0	0	0	0	3
48	24	0	0.797360723	293.205879	293.203155	293.202465	293.205879	0.00149804508	0	0	0	0	0	3
49	25	0	0.813972405	293.206271	293.203277	293.202493	293.206271	0.001576798	0	0	0	0	0	3
50	25	0	0.830584087	293.206682	293.203413	293.202518	293.206682	0.00166969125	0	0	0	0	0	3
51	26	0	0.847195769	293.207098	293.203559	293.202518	293.207098	0.0017759243	0	0	0	0	0	3
52	26	0	0.86380745	293.207524	293.203718	293.202518	293.207524	0.00189690162	0	0	0	0	0	3
53	26	0	0.880419132	293.207956	293.20389	293.202518	293.207956	0.00203443853	0	0	0	0	0	3
54	27	0	0.897030814	293.208405	293.204077	293.202518	293.208405	0.00218842223	0	0	0	0	0	3
55	27	0	0.913642495	293.208867	293.204278	293.202518	293.208867	0.00235941381	0	0	0	0	0	3
56	28	0	0.930254177	293.209342	293.204494	293.202518	293.209342	0.00254778645	0	0	0	0	0	3
57	28	0	0.946865859	293.209827	293.204726	293.202518	293.209827	0.00275440562	0	0	0	0	0	3
58	29	0	0.963477541	293.210314	293.204974	293.202518	293.210314	0.0029802252	0	0	0	0	0	3
59	29	0	0.980089222	293.210801	293.205239	293.202518	293.210801	0.00322528202	0	0	0	0	0	3
60	29	0	0.996700904	293.211286	293.20552	293.202518	293.211286	0.00348925837	0	0	0	0	0	3
61	30	0	1.01331259	293.211767	293.205818	293.202518	293.211767	0.00377119909	0.000334871114	0	8.8	0	0	3
62	30	0	1.02992427	293.212242	293.206132	293.202518	293.212242	0.00401064528	0.000349120217	0	8.7	0	0	3
63	31	0	1.04653595	293.212713	293.20646	293.202526	293.212713	0.00427147592	0.000356174355	0	8.3	0	0	3
64	31	0	1.06314763	293.213184	293.206804	293.202549	293.213184	0.00455258888	0.000361315783	0	7.9	0	0	3
65	31	0	1.07975931	293.213662	293.207163	293.202587	293.213662	0.00485333129	0.000366070979	0	7.5	0	0	3
