Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	4.35982118e-06	4.35982118e-06	4.35982118e-06	4.35982118e-06	0	0	0	0	0	0	3
2	1	0	0.05	-0.000665215747	-0.000330427963	-0.000665215747	4.35982118e-06	0.000334787784	0	0	0	0	0	3
3	1	0	0.075	-0.000587081229	-0.000415979052	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
4	1	0	0.1	-7.49434334e-05	-0.000330720147	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
5	1	0	0.125	-6.07352451e-06	-0.000265790823	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
6	1	0	0.15	-6.38086089e-06	-0.000222555829	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
7	1	0	0.175	1.9619207e-06	-0.000190481865	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
8	1	0	0.2	-3.87177505e-06	-0.000167155604	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
9	1	0	0.225	1.34277539e-06	-0.000148433561	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
10	1	0	0.25	-1.22036599e-06	-0.000133712242	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
11	1	0	0.275	1.83854849e-06	-0.000121389443	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
12	1	0	0.3	-8.80972187e-05	-0.000118615091	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
13	2	0	0.325	-1.40827659e-06	-0.000109599182	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
14	2	0	0.35	-2.2030868e-05	-0.000103344302	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
15	2	0	0.375	-2.98969175e-06	-9.66539951e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
16	2	0	0.4	-7.64341566e-06	-9.10908338e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
17	2	0	0.425	-3.32233905e-06	-8.59279812e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
18	2	0	0.45	-3.57653506e-06	-8.13529009e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
19	2	0	0.475	-2.58249966e-06	-7.72070903e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
20	2	0	0.5	-2.66643134e-06	-7.34800573e-05	-0.000665215747	4.35982118e-06	0.000420338873	0	0	0	0	0	3
21	2	0	0.525	1.16698473e-07	-7.36922135e-05	-0.000665215747	1.9619207e-06	0.000342498995	0	0	0	0	0	3
22	2	0	0.55	-9.46415887e-08	-4.04361582e-05	-0.000587081229	1.9619207e-06	0.000375542894	0	0	0	0	0	3
23	2	0	0.575	-5.10886249e-08	-1.10846511e-05	-8.80972187e-05	1.9619207e-06	9.00591394e-05	0	0	0	0	0	3
24	2	0	0.6	1.84249769e-07	-7.32826698e-06	-8.80972187e-05	1.9619207e-06	9.00591394e-05	0	0	0	0	0	3
25	2	0	0.625	2.54673929e-07	-7.01185706e-06	-8.80972187e-05	1.9619207e-06	9.00591394e-05	0	0	0	0	0	3
26	3	0	0.65	-9.21410513e-08	-6.69742107e-06	-8.80972187e-05	1.9619207e-06	9.00591394e-05	0	0	0	0	0	3
27	3	0	0.675	6.78726508e-07	-6.76158078e-06	-8.80972187e-05	1.83854849e-06	8.99357672e-05	0	0	0	0	0	3
28	3	0	0.7	-1.48980785e-07	-6.57544106e-06	-8.80972187e-05	1.83854849e-06	8.99357672e-05	0	0	0	0	0	3
29	3	0	0.725	-1.31108366e-07	-6.64913525e-06	-8.80972187e-05	1.83854849e-06	8.99357672e-05	0	0	0	0	0	3
30	3	0	0.75	-1.09832928e-07	-6.5936086e-06	-8.80972187e-05	1.83854849e-06	8.99357672e-05	0	0	0	0	0	3
31	3	0	0.775	-1.5732548e-07	-6.6934023e-06	-8.80972187e-05	6.78726508e-07	8.87759452e-05	0	0	0	0	0	3
32	3	0	0.8	-2.71964573e-07	-2.30213959e-06	-2.2030868e-05	6.78726508e-07	2.27095945e-05	0	0	0	0	0	3
33	3	0	0.825	8.54080547e-07	-2.18902174e-06	-2.2030868e-05	8.54080547e-07	2.28849486e-05	0	0	0	0	0	3
34	3	0	0.85	-2.20839864e-07	-1.09852033e-06	-7.64341566e-06	8.54080547e-07	8.49749621e-06	0	0	0	0	0	3
35	3	0	0.875	6.04259475e-05	2.07226163e-06	-7.64341566e-06	6.04259475e-05	6.80693631e-05	0	0	0	0	0	3
36	3	0	0.9	-2.58247482e-07	2.44152004e-06	-3.57653506e-06	6.04259475e-05	6.40024825e-05	0	0	0	0	0	3
37	3	0	0.925	1.37376378e-06	2.67632518e-06	-3.57653506e-06	6.04259475e-05	6.40024825e-05	0	0	0	0	0	3
38	4	0	0.95	-3.21755005e-07	2.83906419e-06	-2.66643134e-06	6.04259475e-05	6.30923788e-05	0	0	0	0	0	3
39	4	0	0.975	3.55002796e-07	2.98593931e-06	-2.66643134e-06	6.04259475e-05	6.30923788e-05	0	0	0	0	0	3
40	4	0	1	-3.16980668e-07	3.10341184e-06	-3.21755005e-07	6.04259475e-05	6.07477025e-05	0.22491463	0	100	0	0	3
41	4	0	1.025	3.61539159e-07	3.11565388e-06	-3.21755005e-07	6.04259475e-05	4.35518121e-05	0.229407858	0	100	0	0	3
42	4	0	1.05	-5.22624011e-07	3.09425476e-06	-5.22624011e-07	6.04259475e-05	1.4200305e-05	0.203288618	0	100	0	0	3
43	4	0	1.075	4.78273308e-07	3.12072285e-06	-5.22624011e-07	6.04259475e-05	1.04489898e-05	0.224511504	0	100	0	0	3
44	4	0	1.1	-4.86144086e-07	2.94896728e-06	-5.22624011e-07	6.04259475e-05	1.04489898e-05	0.186907715	0	100	0	0	3
45	4	0	1.125	2.66289449e-07	2.95287394e-06	-5.22624011e-07	6.04259475e-05	1.01325799e-05	0.241877261	0	100	0	0	3
46	4	0	1.15	-2.63325866e-07	2.92820728e-06	-5.22624011e-07	6.04259475e-05	9.88230363e-06	0.16446376	0	100	0	0	3
47	4	0	1.175	1.80455637e-07	2.94118807e-06	-5.22624011e-07	6.04259475e-05	9.88230363e-06	0.274225723	0	100	0	0	3
48	5	0	1.2	-4.07520047e-07	2.88946205e-06	-5.22624011e-07	6.04259475e-05	9.81412515e-06	0.186655324	0	100	0	0	3
49	5	0	1.225	1.93369831e-07	2.90576446e-06	-5.22624011e-07	6.04259475e-05	9.81412515e-06	0.236598955	0	100	0	0	3
50	5	0	1.25	-2.07133842e-07	2.9021442e-06	-5.22624011e-07	6.04259475e-05	9.81412515e-06	0.16946034	0	100	0	0	3
51	5	0	1.275	3.95961995e-07	2.92622967e-06	-5.22624011e-07	6.04259475e-05	9.81412515e-06	0.228298254	0	100	0	0	3
52	5	0	1.3	-1.74959824e-07	2.92538994e-06	-5.22624011e-07	6.04259475e-05	5.42286245e-06	0.187247744	0	100	0	0	3
53	5	0	1.325	3.74130706e-07	2.95615638e-06	-5.22624011e-07	6.04259475e-05	5.30974459e-06	0.251895185	0	100	0	0	3
54	5	0	1.35	-4.01592446e-07	2.89636243e-06	-5.22624011e-07	6.04259475e-05	4.21924318e-06	0.157748248	0	100	0	0	3
55	5	0	1.375	2.59324446e-07	2.9192274e-06	-5.22624011e-07	6.04259475e-05	1.04846122e-06	0.227105263	0	100	0	0	3
56	5	0	1.4	-9.6229967e-08	3.72189457e-08	-5.22624011e-07	1.37376378e-06	1.89638779e-06	0.183865493	0	100	0	0	3
57	5	0	1.425	4.46783558e-07	7.07918524e-08	-5.22624011e-07	1.37376378e-06	1.89638779e-06	0.249635179	0	100	0	0	3
58	6	0	1.45	-2.23737461e-07	-5.27963502e-09	-5.22624011e-07	4.78273308e-07	1.00089732e-06	0.192814269	0	100	0	0	3
59	6	0	1.475	3.402656e-07	2.62451557e-08	-5.22624011e-07	4.78273308e-07	1.00089732e-06	0.233518739	0	100	0	0	3
60	6	0	1.5	-4.19142911e-07	-1.06189256e-08	-5.22624011e-07	4.78273308e-07	1.00089732e-06	0.16972361	0	100	0	0	3
61	6	0	1.525	2.23998453e-07	1.51419849e-08	-5.22624011e-07	4.78273308e-07	1.00089732e-06	0.222308177	0	100	0	0	3
62	6	0	1.55	-3.36586672e-07	-1.81021023e-08	-5.22624011e-07	4.78273308e-07	1.00089732e-06	0.184925224	0	100	0	0	3
63	6	0	1.575	1.78512641e-07	1.52853573e-08	-4.86144086e-07	4.78273308e-07	9.64417395e-07	0.219050993	0	100	0	0	3
64	6	0	1.6	-2.6689089e-07	-2.01986521e-08	-4.86144086e-07	4.46783558e-07	9.32927645e-07	0.191017765	0	100	0	0	3
65	6	0	1.625	1.40340819e-07	9.63396242e-09	-4.19142911e-07	4.46783558e-07	8.6592647e-07	0.215166048	0	100	0	0	3
66	6	0	1.65	-2.08757981e-07	-1.29873438e-08	-4.19142911e-07	4.46783558e-07	8.6592647e-07	0.195113728	0	100	0	0	3
