Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	3.5115391e-10	3.5115391e-10	3.5115391e-10	3.5115391e-10	0	0	0	0	0	0	3
2	1	0	0.05	-2.53141201e-06	-1.26553043e-06	-2.53141201e-06	3.5115391e-10	1.26588158e-06	0	0	0	0	0	3
3	1	0	0.075	-2.74086946e-06	-1.75731011e-06	-2.74086946e-06	3.5115391e-10	1.75766126e-06	0	0	0	0	0	3
4	2	0	0.1	-6.52335723e-07	-1.48106651e-06	-2.74086946e-06	3.5115391e-10	1.75766126e-06	0	0	0	0	0	3
5	2	0	0.125	-3.57047508e-07	-1.25626271e-06	-2.74086946e-06	3.5115391e-10	1.75766126e-06	0	0	0	0	0	3
6	2	0	0.15	-1.281767e-07	-1.06824838e-06	-2.74086946e-06	3.5115391e-10	1.75766126e-06	0	0	0	0	0	3
7	2	0	0.175	-5.85000922e-08	-9.2399862e-07	-2.74086946e-06	3.5115391e-10	1.75766126e-06	0	0	0	0	0	3
8	2	0	0.2	5.92851839e-09	-8.07757728e-07	-2.74086946e-06	5.92851839e-09	1.75766126e-06	0	0	0	0	0	3
9	2	0	0.225	-2.39453122e-08	-7.2066746e-07	-2.74086946e-06	5.92851839e-09	1.75766126e-06	0	0	0	0	0	3
10	3	0	0.25	6.74887983e-08	-6.41851834e-07	-2.74086946e-06	6.74887983e-08	1.75766126e-06	0	0	0	0	0	3
11	3	0	0.275	-2.73698263e-08	-5.85989833e-07	-2.74086946e-06	6.74887983e-08	1.75766126e-06	0	0	0	0	0	3
12	3	0	0.3	8.24082557e-08	-5.30289992e-07	-2.74086946e-06	8.24082557e-08	1.75766126e-06	0	0	0	0	0	3
13	3	0	0.325	-3.11977789e-08	-4.91898284e-07	-2.74086946e-06	8.24082557e-08	1.75766126e-06	0	0	0	0	0	3
14	3	0	0.35	1.2441098e-08	-4.55874042e-07	-2.74086946e-06	8.24082557e-08	1.75766126e-06	0	0	0	0	0	3
15	4	0	0.375	-3.49509753e-08	-4.27812504e-07	-2.74086946e-06	8.24082557e-08	1.75766126e-06	0	0	0	0	0	3
16	4	0	0.4	6.63176313e-09	-4.00659738e-07	-2.74086946e-06	8.24082557e-08	1.75766126e-06	0	0	0	0	0	3
