Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	73235.8565	73235.8565	73235.8565	73235.8565	0	0	0	0	0	0	3
2	1	0	0.05	83230.9067	78233.3816	73235.8565	83230.9067	4997.52512	0	0	0	0	0	3
3	1	0	0.075	83694.8807	80053.8813	73235.8565	83694.8807	6818.02481	0	0	0	0	0	3
4	2	0	0.1	83195.4903	80839.2836	73235.8565	83694.8807	7603.42707	0	0	0	0	0	3
5	2	0	0.125	85647.1997	81800.8668	73235.8565	85647.1997	8565.01029	0	0	0	0	0	3
6	2	0	0.15	85032.4786	82339.4688	73235.8565	85647.1997	9103.61227	0	0	0	0	0	3
7	2	0	0.175	87735.2939	83110.3009	73235.8565	87735.2939	9874.44444	0	0	0	0	0	3
8	2	0	0.2	88136.1409	83738.5309	73235.8565	88136.1409	10502.6744	0	0	0	0	0	3
9	2	0	0.225	89810.8711	84413.2354	73235.8565	89810.8711	11177.3789	0	0	0	0	0	3
10	3	0	0.25	91353.5344	85107.2653	73235.8565	91353.5344	11871.4088	0	0	0	0	0	3
11	3	0	0.275	94033.1138	85918.7061	73235.8565	94033.1138	12682.8496	0	0	0	0	0	3
12	3	0	0.3	96352.8784	86788.2204	73235.8565	96352.8784	13552.3639	0	0	0	0	0	3
13	3	0	0.325	98476.1401	87687.2912	73235.8565	98476.1401	14451.4347	0	0	0	0	0	3
14	3	0	0.35	99571.4256	88536.1579	73235.8565	99571.4256	15300.3014	0	0	0	0	0	3
15	4	0	0.375	100761.68	89351.1927	73235.8565	100761.68	16115.3362	0	0	0	0	0	3
16	4	0	0.4	101278.527	90096.6511	73235.8565	101278.527	16860.7946	0	0	0	0	0	3
17	4	0	0.425	101851.958	90788.1397	73235.8565	101851.958	17552.2832	0	0	0	0	0	3
18	4	0	0.45	102297.563	91427.5521	73235.8565	102297.563	18191.6956	0	0	0	0	0	3
19	4	0	0.475	102682.284	92019.9064	73235.8565	102682.284	18784.0499	0	0	0	0	0	3
20	4	0	0.5	103061.585	92571.9903	73235.8565	103061.585	19336.1338	0	0	0	0	0	3
21	4	0	0.525	103128.53	94066.624	83195.4903	103128.53	15833.2424	0	0	0	0	0	3
22	5	0	0.55	103401.929	95075.1751	83195.4903	103401.929	15021.2938	0	0	0	0	0	3
23	5	0	0.575	103488.955	96064.8788	83195.4903	103488.955	15225.5952	0	0	0	0	0	3
24	5	0	0.6	103708.7	97090.5393	85032.4786	103708.7	15289.6725	0	0	0	0	0	3
25	5	0	0.625	103743.554	97995.357	85032.4786	103743.554	15655.8882	0	0	0	0	0	3
26	5	0	0.65	103889.48	98938.2071	87735.2939	103889.48	15827.9061	0	0	0	0	0	3
27	5	0	0.675	103907.371	99746.8109	88136.1409	103907.371	15771.2302	0	0	0	0	0	3
28	6	0	0.7	104011.157	100540.562	89810.8711	104011.157	14200.2856	0	0	0	0	0	3
29	6	0	0.725	104021.711	101251.104	91353.5344	104021.711	12668.1765	0	0	0	0	0	3
30	6	0	0.75	104057.698	101886.312	94033.1138	104057.698	10024.5842	0	0	0	0	0	3
31	6	0	0.775	104100.141	102389.663	96352.8784	104100.141	7747.26266	0	0	0	0	0	3
32	6	0	0.8	104164.453	102780.242	98476.1401	104164.453	5688.31324	0	0	0	0	0	3
33	6	0	0.825	104208.421	103066.856	99571.4256	104208.421	4636.99506	0	0	0	0	0	3
34	7	0	0.85	104269.725	103301.771	100761.68	104269.725	3508.04549	0	0	0	0	0	3
35	7	0	0.875	104325.629	103479.968	101278.527	104325.629	3047.10195	0	0	0	0	0	3
36	7	0	0.9	104363.809	103634.233	101851.958	104363.809	2511.85123	0	0	0	0	0	3
37	7	0	0.925	104419.576	103762.613	102297.563	104419.576	2122.0129	0	0	0	0	0	3
38	7	0	0.95	104437.169	103869.594	102682.284	104437.169	1754.88482	0	0	0	0	0	3
39	7	0	0.975	104468.916	103958.925	103061.585	104468.916	1407.33124	0	0	0	0	0	3
40	8	0	1	104486.068	104030.15	103128.53	104486.068	1357.5385	2909.99618	0	100	0	0	3
41	8	0	1.025	104505.427	104098.994	103401.929	104505.427	1103.49807	2912.64217	0	100	0	0	3
42	8	0	1.05	104539.399	104155.868	103488.955	104539.399	1050.44433	2914.96381	0	100	0	0	3
43	8	0	1.075	104563.274	104209.584	103708.7	104563.274	854.574363	2916.82544	0	100	0	0	3
44	8	0	1.1	104578.498	104227.151	103708.7	104578.498	869.798497	2909.99618	0	100	0	0	3
45	8	0	1.125	104590.85	104269.158	103743.554	104590.85	847.296656	2909.99618	0	100	0	0	3
46	8	0	1.15	104605.961	104310.225	103889.48	104605.961	716.481028	2909.99618	0	100	0	0	3
47	9	0	1.175	104636.68	104345.806	103907.371	104636.68	729.30885	2909.99618	0	100	0	0	3
48	9	0	1.2	104635.463	104380.477	104011.157	104636.68	625.523147	2909.99618	0	100	0	0	3
49	9	0	1.225	104655.202	104411.146	104021.711	104655.202	633.491028	2909.99618	0	100	0	0	3
50	9	0	1.25	104666.042	104441.829	104057.698	104666.042	608.344028	2909.99618	0	100	0	0	3
51	9	0	1.275	104674.439	104471.197	104100.141	104674.439	574.298137	2909.99618	0	100	0	0	3
52	9	0	1.3	104684.215	104499.01	104164.453	104684.215	519.762002	2909.99618	0	100	0	0	3
53	10	0	1.325	104695.785	104524.312	104208.421	104695.785	487.364342	2909.99618	0	100	0	0	3
54	10	0	1.35	104688.846	104547.189	104269.725	104695.785	426.06	2909.99618	0	100	0	0	3
55	10	0	1.375	104701.493	104567.75	104325.629	104701.493	375.864556	2909.99618	0	100	0	0	3
56	10	0	1.4	104701.64	104585.655	104363.809	104701.64	337.831245	2909.99618	0	100	0	0	3
57	10	0	1.425	104714.53	104602.356	104419.576	104714.53	294.954524	2909.99618	0	100	0	0	3
58	10	0	1.45	104710.815	104616.225	104437.169	104714.53	277.36153	2909.99618	0	100	0	0	3
59	11	0	1.475	104709.205	104629.179	104468.916	104714.53	245.613895	2909.99618	0	100	0	0	3
60	11	0	1.5	104711.703	104640.74	104486.068	104714.53	228.461926	2909.99618	0	100	0	0	3
61	11	0	1.525	104724.969	104652.116	104505.427	104724.969	219.541377	2909.99618	0	100	0	0	3
62	11	0	1.55	104697.337	104661.255	104539.399	104724.969	185.569517	2909.99618	0	100	0	0	3
63	11	0	1.575	104715.247	104669.628	104563.274	104724.969	161.694362	2909.99618	0	100	0	0	3
64	12	0	1.6	104698.861	104676.085	104578.498	104724.969	146.470227	2909.99618	0	100	0	0	3
65	12	0	1.625	104712.151	104682.449	104590.85	104724.969	134.118132	2909.99618	0	100	0	0	3
66	12	0	1.65	104711.074	104688.174	104605.961	104724.969	119.007162	2909.99618	0	100	0	0	3
67	12	0	1.675	104706.489	104692.961	104635.463	104724.969	89.5055715	2909.99618	0	100	0	0	3
68	12	0	1.7	104692.763	104695.632	104635.463	104724.969	89.5055715	2909.99618	0	100	0	0	3
69	12	0	1.725	104705.189	104698.952	104655.202	104724.969	69.7666925	2909.99618	0	100	0	0	3
70	12	0	1.75	104699.728	104701.072	104666.042	104724.969	58.9265383	2909.99618	0	100	0	0	3
71	13	0	1.775	104707.083	104703.027	104674.439	104724.969	50.5294159	2909.99618	0	100	0	0	3
72	13	0	1.8	104694.493	104703.982	104684.215	104724.969	40.7532412	2909.99618	0	100	0	0	3
73	13	0	1.825	104706.345	104705.036	104688.846	104724.969	36.1226058	2909.99618	0	100	0	0	3
74	13	0	1.85	104689.053	104704.715	104688.846	104724.969	36.1226058	2909.99618	0	100	0	0	3
75	13	0	1.875	104691.593	104704.846	104689.053	104724.969	35.9157889	2909.99618	0	100	0	0	3
76	13	0	1.9	104677.24	104703.691	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
77	14	0	1.925	104689.307	104703.104	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
78	14	0	1.95	104691.705	104702.017	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
79	14	0	1.975	104692.03	104701.122	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
80	14	0	2	104690.691	104700.241	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
81	14	0	2.025	104687.059	104699.067	104677.24	104724.969	47.7283954	2909.99618	0	100	0	0	3
82	14	0	2.05	104685.214	104697.174	104677.24	104715.247	38.0067673	2909.99618	0	100	0	0	3
83	15	0	2.075	104687.335	104696.698	104677.24	104715.247	35.40717	2909.99618	0	100	0	0	3
84	15	0	2.1	104683.269	104695.175	104677.24	104712.151	28.950645	2909.99618	0	100	0	0	3
85	15	0	2.125	104684.263	104694.48	104677.24	104712.151	22.5862471	2909.99618	0	100	0	0	3
86	15	0	2.15	104682.457	104693.066	104677.24	104711.074	16.8613122	2909.99618	0	100	0	0	3
87	15	0	2.175	104686.515	104691.896	104677.24	104707.083	13.1392827	2909.99618	0	100	0	0	3
88	15	0	2.2	104685.052	104690.875	104677.24	104707.083	14.160072	2909.99618	0	100	0	0	3
89	16	0	2.225	104679.463	104690.242	104677.24	104707.083	14.7933879	2909.99618	0	100	0	0	3
90	16	0	2.25	104675.75	104688.84	104675.75	104707.083	16.1952309	2909.99618	0	100	0	0	3
91	16	0	2.275	104679.57	104687.88	104675.75	104707.083	17.155158	2909.99618	0	100	0	0	3
92	16	0	2.3	104680.048	104686.593	104675.75	104706.345	18.4425061	2909.99618	0	100	0	0	3
93	16	0	2.325	104674.66	104685.649	104674.66	104706.345	19.3869342	2909.99618	0	100	0	0	3
94	16	0	2.35	104672.391	104684.032	104672.391	104692.03	19.6395582	2909.99618	0	100	0	0	3
95	17	0	2.375	104670.32	104683.14	104670.32	104692.03	21.7060915	2909.99618	0	100	0	0	3
96	17	0	2.4	104663.937	104681.823	104663.937	104692.03	21.8681315	2909.99618	0	100	0	0	3
97	17	0	2.425	104663.763	104681.181	104663.763	104692.03	21.9225799	2909.99618	0	100	0	0	3
98	17	0	2.45	104665.782	104680.061	104663.763	104692.03	21.9558969	2909.99618	0	100	0	0	3
99	17	0	2.475	104662.91	104678.69	104662.91	104692.03	22.4325954	2909.99618	0	100	0	0	3
100	18	0	2.5	104664.935	104677.399	104662.91	104690.691	22.8412412	2909.99618	0	100	0	0	3
101	18	0	2.525	104660.394	104675.957	104660.394	104687.335	23.1104219	2909.99618	0	100	0	0	3
102	18	0	2.55	104659.452	104674.642	104659.452	104687.335	22.5319527	2909.99618	0	100	0	0	3
103	18	0	2.575	104655.204	104673.213	104655.204	104687.335	23.4846742	2909.99618	0	100	0	0	3
104	18	0	2.6	104662.15	104672.014	104655.204	104686.515	23.1611773	2909.99618	0	100	0	0	3
105	18	0	2.625	104654.441	104670.641	104654.441	104686.515	23.8387858	2909.99618	0	100	0	0	3
106	19	0	2.65	104659.722	104669.472	104654.441	104686.515	23.5934296	2909.99618	0	100	0	0	3
107	19	0	2.675	104659.803	104668.394	104654.441	104686.515	23.5027258	2909.99618	0	100	0	0	3
108	19	0	2.7	104664.55	104667.348	104654.441	104685.052	23.5279022	2909.99618	0	100	0	0	3
109	19	0	2.725	104661.87	104666.244	104654.441	104680.048	23.9985144	2909.99618	0	100	0	0	3
110	19	0	2.75	104669.585	104665.773	104654.441	104680.048	23.0670596	2909.99618	0	100	0	0	3
111	19	0	2.775	104667.988	104665.404	104654.441	104680.048	22.4767564	2909.99618	0	100	0	0	3
112	20	0	2.8	104661.983	104664.566	104654.441	104680.048	22.0268537	2909.99618	0	100	0	0	3
113	20	0	2.825	104663.907	104663.798	104654.441	104674.66	20.2196769	2909.99618	0	100	0	0	3
114	20	0	2.85	104664.196	104663.299	104654.441	104672.391	17.9501822	2909.99618	0	100	0	0	3
115	20	0	2.875	104663.025	104662.853	104654.441	104670.32	15.8790807	2909.99618	0	100	0	0	3
116	20	0	2.9	104659.782	104662.351	104654.441	104669.585	15.1440553	2909.99618	0	100	0	0	3
117	20	0	2.925	104664.268	104662.367	104654.441	104669.585	15.1440553	2909.99618	0	100	0	0	3
118	20	0	2.95	104659.809	104662.179	104654.441	104669.585	15.1440553	2909.99618	0	100	0	0	3
119	21	0	2.975	104661.32	104661.966	104654.441	104669.585	15.1440553	2909.99618	0	100	0	0	3
120	21	0	3	104666.037	104662.115	104654.441	104669.585	15.1440553	2909.99618	0	100	0	0	3
