Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.20027	293.20027	293.20027	293.20027	0	0	0	0	0	0	3
2	1	0	0.05	293.200529	293.200399	293.20027	293.200529	0.000129959592	0	0	0	0	0	3
3	1	0	0.075	293.200777	293.200525	293.20027	293.200777	0.000255915215	0	0	0	0	0	3
4	2	0	0.1	293.201023	293.20065	293.20027	293.201023	0.000380374019	0	0	0	0	0	3
5	2	0	0.125	293.201259	293.200772	293.20027	293.201259	0.000502195206	0	0	0	0	0	3
6	2	0	0.15	293.201539	293.2009	293.20027	293.201539	0.000630099315	0	0	0	0	0	3
7	2	0	0.175	293.201768	293.201024	293.20027	293.201768	0.000754208355	0	0	0	0	0	3
8	2	0	0.2	293.201971	293.201142	293.20027	293.201971	0.000872556323	0	0	0	0	0	3
9	2	0	0.225	293.202159	293.201255	293.20027	293.202159	0.000985555237	0	0	0	0	0	3
10	3	0	0.25	293.202337	293.201363	293.20027	293.202337	0.00109373924	0	0	0	0	0	3
11	3	0	0.275	293.202589	293.201475	293.20027	293.202589	0.00120515548	0	0	0	0	0	3
12	3	0	0.3	293.202262	293.20154	293.20027	293.202589	0.0012707237	0	0	0	0	0	3
13	3	0	0.325	293.201949	293.201572	293.20027	293.202589	0.00130213125	0	0	0	0	0	3
14	3	0	0.35	293.201838	293.201591	293.20027	293.202589	0.00132117836	0	0	0	0	0	3
15	4	0	0.375	293.201676	293.201596	293.20027	293.202589	0.00132684323	0	0	0	0	0	3
16	4	0	0.4	293.201669	293.201601	293.20027	293.202589	0.00133139133	0	0	0	0	0	3
17	4	0	0.425	293.201614	293.201602	293.20027	293.202589	0.00133213561	0	0	0	0	0	3
18	4	0	0.45	293.201572	293.2016	293.20027	293.202589	0.00133213561	0	0	0	0	0	3
19	4	0	0.475	293.201531	293.201596	293.20027	293.202589	0.00133213561	0	0	0	0	0	3
20	4	0	0.5	293.201491	293.201591	293.20027	293.202589	0.00133213561	0	0	0	0	0	3
21	4	0	0.525	293.201541	293.201655	293.200529	293.202589	0.00125518568	0	0	0	0	0	3
22	5	0	0.55	293.201551	293.201706	293.200777	293.202589	0.00118028502	0	0	0	0	0	3
23	5	0	0.575	293.201603	293.201747	293.201023	293.202589	0.00109712847	0	0	0	0	0	3
24	5	0	0.6	293.20163	293.201777	293.201259	293.202589	0.00100564779	0	0	0	0	0	3
25	5	0	0.625	293.201702	293.2018	293.201491	293.202589	0.000899914884	0	0	0	0	0	3
26	5	0	0.65	293.201791	293.201812	293.201491	293.202589	0.000788415481	0	0	0	0	0	3
27	5	0	0.675	293.201906	293.201819	293.201491	293.202589	0.00067694958	0	0	0	0	0	3
28	6	0	0.7	293.201991	293.20182	293.201491	293.202589	0.000564971128	0	0	0	0	0	3
29	6	0	0.725	293.20209	293.201817	293.201491	293.202589	0.000456787125	0	0	0	0	0	3
30	6	0	0.75	293.202179	293.201809	293.201491	293.202589	0.000345370885	0	0	0	0	0	3
31	6	0	0.775	293.202298	293.201794	293.201491	293.202298	0.000279802663	0	0	0	0	0	3
32	6	0	0.8	293.202416	293.201802	293.201491	293.202416	0.000248395115	0	0	0	0	0	3
33	6	0	0.825	293.202544	293.201832	293.201491	293.202544	0.000240925132	0	0	0	0	0	3
34	7	0	0.85	293.202679	293.201874	293.201491	293.202679	0.000282539624	0	0	0	0	0	3
35	7	0	0.875	293.202827	293.201931	293.201491	293.202827	0.000340087827	0	0	0	0	0	3
36	7	0	0.9	293.203084	293.202002	293.201491	293.203084	0.000410811795	0	0	0	0	0	3
37	7	0	0.925	293.203363	293.202089	293.201491	293.203363	0.000498273793	0	0	0	0	0	3
38	7	0	0.95	293.203676	293.202195	293.201491	293.203676	0.000603491246	0	0	0	0	0	3
39	7	0	0.975	293.20401	293.202319	293.201491	293.20401	0.000727459492	0	0	0	0	0	3
40	8	0	1	293.204357	293.202462	293.201541	293.204357	0.000807215824	0.000489316057	0	60.6	0	0	3
41	8	0	1.025	293.2049	293.20263	293.201551	293.2049	0.00092411196	0.00056348151	0	60.9	0	0	3
42	8	0	1.05	293.205454	293.202825	293.201603	293.205454	0.0010779618	0.000601314577	0	55.7	0	0	3
43	8	0	1.075	293.206055	293.203048	293.20163	293.206055	0.00127022375	0.000630142065	0	49.6	0	0	3
44	8	0	1.1	293.206667	293.20322	293.20163	293.206667	0.00144256939	0.000657392615	0	45.5	0	0	3
45	8	0	1.125	293.207317	293.203491	293.201702	293.207317	0.00169658203	0.000685168846	0	40.3	0	0	3
46	8	0	1.15	293.207964	293.203789	293.201791	293.207964	0.00199476097	0.000718437805	0	36	0	0	3
47	9	0	1.175	293.208641	293.204115	293.201906	293.208641	0.00232095028	0.000755422718	0	32.5	0	0	3
48	9	0	1.2	293.209341	293.204469	293.201991	293.209341	0.00267497455	0.000795107678	0	29.7	0	0	3
49	9	0	1.225	293.210074	293.204854	293.20209	293.210074	0.00305990424	0.00083711942	0	27.3	0	0	3
50	9	0	1.25	293.2108	293.205269	293.202179	293.2108	0.00347464828	0.000880639022	0	25.3	0	0	3
51	9	0	1.275	293.21155	293.205715	293.202298	293.21155	0.00392088793	0.000925568126	0	23.6	0	0	3
52	9	0	1.3	293.212283	293.20619	293.202416	293.212283	0.00438863185	0.000971356238	0	22.1	0	0	3
53	10	0	1.325	293.21303	293.206696	293.202544	293.21303	0.00486430685	0.00101795959	0	20.9	0	0	3
54	10	0	1.35	293.213775	293.207231	293.202679	293.213775	0.00535711734	0.00106517943	0	19.8	0	0	3
55	10	0	1.375	293.214518	293.207795	293.202827	293.214518	0.00586336352	0.00111287304	0	18.9	0	0	3
56	10	0	1.4	293.215224	293.208385	293.203084	293.215224	0.00638298769	0.00116063393	0	18.1	0	0	3
57	10	0	1.425	293.215936	293.208997	293.203363	293.215936	0.0069075288	0.0012084982	0	17.4	0	0	3
58	10	0	1.45	293.216605	293.209627	293.203676	293.216605	0.0074329036	0.00125612845	0	16.8	0	0	3
59	11	0	1.475	293.217317	293.210277	293.20401	293.217317	0.00795850963	0.0013038684	0	16.3	0	0	3
60	11	0	1.5	293.217956	293.210941	293.204357	293.217956	0.00847925262	0.00135119645	0	15.9	0	0	3
61	11	0	1.525	293.218612	293.21162	293.2049	293.218612	0.00899008336	0.00139796042	0	15.5	0	0	3
62	11	0	1.55	293.219267	293.212304	293.205454	293.219267	0.00947905167	0.00144448125	0	15.2	0	0	3
63	11	0	1.575	293.219924	293.212993	293.206055	293.219924	0.00994549867	0.00149054766	0	14.9	0	0	3
64	12	0	1.6	293.220564	293.213684	293.206667	293.220564	0.0104640562	0.00153627249	0	14.6	0	0	3
65	12	0	1.625	293.221237	293.214378	293.207317	293.221237	0.010887066	0.00158161879	0	14.5	0	0	3
66	12	0	1.65	293.221884	293.215071	293.207964	293.221884	0.0112825896	0.00162641487	0	14.4	0	0	3
67	12	0	1.675	293.222569	293.215767	293.208641	293.222569	0.0116518673	0.0016707778	0	14.3	0	0	3
68	12	0	1.7	293.223231	293.216462	293.209341	293.223231	0.0119925986	0.00171478994	0	14.2	0	0	3
69	12	0	1.725	293.223917	293.217156	293.210074	293.223917	0.0123017808	0.00175853214	0	14.2	0	0	3
70	12	0	1.75	293.224602	293.217848	293.2108	293.224602	0.0125788133	0.00180207372	0	14.3	0	0	3
71	13	0	1.775	293.22532	293.218539	293.21155	293.22532	0.0128240344	0.0018454477	0	14.3	0	0	3
72	13	0	1.8	293.226013	293.219228	293.212283	293.226013	0.0130373001	0.0018885669	0	14.4	0	0	3
73	13	0	1.825	293.226734	293.219916	293.21303	293.226734	0.0132200338	0.00193152995	0	14.6	0	0	3
74	13	0	1.85	293.227453	293.220603	293.213775	293.227453	0.0133719995	0.00197431235	0	14.7	0	0	3
75	13	0	1.875	293.228195	293.221289	293.214518	293.228195	0.0134948515	0.00201696976	0	14.9	0	0	3
76	13	0	1.9	293.228921	293.221975	293.215224	293.228921	0.0135903621	0.0020590396	0	15.1	0	0	3
77	14	0	1.925	293.229666	293.222663	293.215936	293.229666	0.0136660618	0.00210055422	0	15.3	0	0	3
78	14	0	1.95	293.230388	293.223351	293.216605	293.230388	0.0137236929	0.00214135524	0	15.6	0	0	3
79	14	0	1.975	293.231152	293.224044	293.217317	293.231152	0.0137668337	0.00218157099	0	15.8	0	0	3
80	14	0	2	293.231906	293.224739	293.217956	293.231906	0.013797461	0.00222116583	0	16	0	0	3
81	14	0	2.025	293.2327	293.225441	293.218612	293.2327	0.0138207679	0.00225966553	0	16.3	0	0	3
82	14	0	2.05	293.233454	293.226147	293.219267	293.233454	0.0138434378	0.00229698655	0	16.5	0	0	3
83	15	0	2.075	293.234258	293.226861	293.219924	293.234258	0.0138682675	0.00233321295	0	16.8	0	0	3
84	15	0	2.1	293.235011	293.22758	293.220564	293.235011	0.0138958337	0.00236823411	0	17	0	0	3
85	15	0	2.125	293.235797	293.228305	293.221237	293.235797	0.0139273785	0.00240210986	0	17.2	0	0	3
86	15	0	2.15	293.23655	293.229034	293.221884	293.23655	0.0139628699	0.00243482624	0	17.4	0	0	3
87	15	0	2.175	293.237347	293.229771	293.222569	293.237347	0.0140037418	0.00246650145	0	17.6	0	0	3
88	15	0	2.2	293.23812	293.230511	293.223231	293.23812	0.0140495262	0.00249706647	0	17.7	0	0	3
89	16	0	2.225	293.23893	293.231259	293.223917	293.23893	0.0141029717	0.00252659492	0	17.9	0	0	3
90	16	0	2.25	293.239688	293.23201	293.224602	293.239688	0.0141622089	0.00255503307	0	18	0	0	3
91	16	0	2.275	293.240491	293.232766	293.22532	293.240491	0.0142273739	0.00258249662	0	18.1	0	0	3
92	16	0	2.3	293.241261	293.233526	293.226013	293.241261	0.0142977157	0.00260900053	0	18.2	0	0	3
93	16	0	2.325	293.242076	293.23429	293.226734	293.242076	0.0143744446	0.00263467963	0	18.3	0	0	3
94	16	0	2.35	293.242821	293.235056	293.227453	293.242821	0.0144537077	0.0026594085	0	18.3	0	0	3
95	17	0	2.375	293.243627	293.235827	293.228195	293.243627	0.0145372745	0.00268339401	0	18.4	0	0	3
96	17	0	2.4	293.24439	293.236598	293.228921	293.24439	0.0146226044	0.0027066617	0	18.5	0	0	3
97	17	0	2.425	293.245179	293.237372	293.229666	293.245179	0.0147091049	0.00272929998	0	18.5	0	0	3
98	17	0	2.45	293.24594	293.238147	293.230388	293.24594	0.0147958709	0.00275137309	0	18.5	0	0	3
99	17	0	2.475	293.246745	293.238926	293.231152	293.246745	0.0148820523	0.00277291226	0	18.6	0	0	3
100	18	0	2.5	293.247506	293.239705	293.231906	293.247506	0.0149661018	0.00279401246	0	18.6	0	0	3
101	18	0	2.525	293.248306	293.240486	293.2327	293.248306	0.015044969	0.00281474394	0	18.7	0	0	3
102	18	0	2.55	293.249065	293.241265	293.233454	293.249065	0.0151174624	0.00283503515	0	18.7	0	0	3
103	18	0	2.575	293.249853	293.242046	293.234258	293.249853	0.015184475	0.00285496732	0	18.8	0	0	3
104	18	0	2.6	293.2506	293.242824	293.235011	293.2506	0.0152441982	0.00287450324	0	18.8	0	0	3
105	18	0	2.625	293.251396	293.243604	293.235797	293.251396	0.0152990563	0.00289369772	0	18.9	0	0	3
106	19	0	2.65	293.25215	293.244383	293.23655	293.25215	0.0153486182	0.00291253214	0	18.9	0	0	3
107	19	0	2.675	293.25293	293.245163	293.237347	293.25293	0.0153923054	0.00293099841	0	19	0	0	3
108	19	0	2.7	293.253661	293.24594	293.23812	293.253661	0.0154285971	0.00294905935	0	19.1	0	0	3
